pk,source,internal_id,status,submitted_on,accepted_on,last_updated_on,country,region,complainants,respondents,respondent_sector,respondent_parent_company,respondent_supplier,summary,history,external_link,extras
490,Cargill,ISP-38,Submitted,2019-03,,2019-03,Indonesia,,Mighty Earth,Mulia Sawit Group,,,,"A grievance was filed against Mulia Sawit Group in March 2019 by Mighty Earth for development on peat. The company had already been suspended by Cargill's direct suppliers at the point of engagement, and Cargill has adopted a no-buy position on the company.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
491,Cargill,ISP-39,In Progress - Investigation,2018-02,,2019-05,Indonesia,,Greenpeace,NPC Resources,,,,"Greenpeace raised a grievance against NPC Resources alleging deforestation of peat. Cargill engaged with their direct supplier in February 2018 and implemented a moratorium which is being monitored for compliance. Assessments for NDPE compliance were completed for PT Sumber Alam Selaras in April 2018, and NPC's HCS-HCV report is undergoing peer-review as of May 2019.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
492,Cargill,ISP-40,In Progress,2019-03,,2019-07,Indonesia,,Mighty Earth,Palma Serasih,,,,"A grievance was filed against Palma Serasih in March 2019 by Mighty Earth regarding deforestation concerns. Cargill, as an indirect buyer, raised the issue with their direct supplier AAA, who contacted Palma Serasih. New contracts have been placed on hold pending agreement to High Carbon Stock (HCS) assessment requirements.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
493,Cargill,ISP-41,In Progress - Investigation,2019-05,,2020-08,Indonesia,Aceh,Rainforest Action Network (RAN),Perkebunanan Nusantara 1,,,,"This grievance concerns allegations of deforestation in the Leuser Ecosystem by PTPN 1, reported by Rainforest Action Network in May 2019. PTPN 1 claims they were conducting replanting activities in an existing plantation area with HGU permit that was abandoned in 1999 due to civil conflict and only resumed maintenance in 2014. Cargill is engaging with direct suppliers and advocating for an HCSA assessment to determine appropriate steps for the regenerating vegetation.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
494,Cargill,ISP-42,In Progress,11/1/2016,,2016-12,Indonesia,,,PT Abdi Budi Mulia; PT Sarana Prima Multi Niaga,,,,"A grievance was filed on November 1, 2016, against PT Abdi Budi Mulia and PT Sarana Prima Multi Niaga for labor exploitation. Field visits were conducted by direct suppliers in December 2016, and follow-up action plans were established to address the identified gaps. The case is currently under monitoring for the implementation of these action plans.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
495,Cargill,ISP-43,Closed,2/6/2017,,2017-05,Indonesia,,,PT Agra Bumi Niaga,,,,"PT Koperasi Prima Jasa (PT KPJ) was reported for allegedly sourcing from PT Agra Bumi Niaga (PT ABN) where deforestation was occurring. Following the grievance, Cargill sought clarification from Wilmar, who confirmed that PT KPJ is no longer sourcing from PT ABN. Wilmar also verified that its other suppliers are not sourcing from PT ABN.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
496,Cargill,ISP-44,Closed,8/5/2016,,2018-04,Indonesia,,,PT Andika Permata Sawit Lestari,,,,"A grievance was filed against PT Andika Permata Sawit Lestari on August 5, 2016, alleging burning and community intimidation. PT APSL clarified that fires occurred outside their concession on independent farmers' land and denied instigating the incident. After investigation, the case was brought to courts, a suspect was arrested for arson, and Cargill monitored developments through direct suppliers.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
497,Cargill,ISP-45,Closed,2019-12,,2020-11,Indonesia,Aceh,Rainforest Action Network (RAN),PT Bumi Daya Agrotamas,,,,"This grievance was raised by Rainforest Action Network against PT Bumi Daya Agrotamas for sourcing from deforested areas. Cargill has engaged with direct suppliers for field verification, and Musim Mas completed verification finding that PT BDA had stopped sourcing from PT Laot Bangko since September 2019. PT BDA has committed to stop sourcing from protected areas and is implementing an action plan including developing SOPs for Traceability to Plantation.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
498,Cargill,ISP-46,Closed,2022-03,,3/31/2022,Indonesia,,Mongabay,PT Dewa Rencana Perangin Angin,,,,"The grievance involves allegations of forced labor against PT. Dewa Rencana Perangin Angin in Indonesia, reported by Mongabay in March 2022. Cargill investigated the claims through its direct suppliers and concluded that the company was violating Cargill's Policy on Sustainable Palm Oil. As a result, Cargill suspended PT. Dewa Rencana Perangin Angin from its supply chain effective March 31, 2022.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
499,Cargill,ISP-47,Closed,2020-08,,2020-10,Indonesia,,Rainforest Action Network (RAN),PT Dua Perkasa Lestari,,,,"A grievance was filed in August 2020 by the Rainforest Action Network against PT Dua Perkasa Lestari regarding a community conflict. Cargill, who was indirectly linked to PT DPL through their supplier's third-party mill (PT Beurata Subur Persada), investigated the allegations. After unsatisfactory engagement with PT DPL, GAR suspended PT DPL from its supply chain in October 2020.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
500,Cargill,ISP-48,Closed,7/21/2017,,2019-02,Indonesia,,Rainforest Action Network (RAN),PT Ensem Sawita,,,,A grievance was filed against PT Ensem Sawita for sourcing from a deforested area through PT ABN. PT Ensem Sawita claimed they unknowingly sourced from PT ABN due to a company name change and subsequently ceased sourcing from them. The supplier has developed sustainability policies and achieved full traceability to plantation (TTP) as of January 2019.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
501,Cargill,ISP-49,Closed - With Monitoring,2019-10,,2021-12,Indonesia,Aceh,Rainforest Action Network (RAN),PT Global Sawit Semesta,,,,"The grievance involves PT Global Sawit Semesta (PT GSS) sourcing from deforested areas, specifically from suppliers operating in the Leuser Ecosystem. Investigations by Musim Mas and GAR confirmed that PT GSS sourced from CV Buana Indah, PT Laot Bangko, and PT ASDAL in 2019. PT GSS has committed to implementing a time-bound action plan to prevent sourcing FFB from conservation areas, including improving traceability procedures.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
502,Cargill,ISP-50,Closed,2017-01,,2017-01,Indonesia,Papua,Greenpeace,PT Henrison Inti Persada; PT Pusaka Agro Lestari,,,,"Greenpeace filed a grievance against PT Henrison Inti Persada and PT Pusaka Agro Lestari in January 2017 for deforestation. The companies, which are indirect suppliers to Cargill, have been suspended by Cargill's direct suppliers. Cargill has adopted a no-buy position on the companies.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
503,Cargill,ISP-51,In Progress - Investigation,2019-10,,2020-01,Indonesia,Aceh,Rainforest Action Network (RAN),PT Samudera Sawit Nabati,,,,"The grievance involves PT Samudera Sawit Nabati (PT SSN) allegedly sourcing from deforested areas, raised by Rainforest Action Network in October 2019. Musim Mas and GAR conducted field verification but found no documented evidence of PT SSN sourcing from CV Buana Indah, though risk remains. PT SSN is now implementing a time-bound NDPE action plan which includes traceability to plantation to prevent sourcing from protected areas.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
504,Cargill,ISP-52,Closed,2022-05,,2023-05,Indonesia,North Sumatra,Mighty Earth; Environmental Investigation Agency (EIA),PT Sawit Sukses Sejati,,,,"Cargill received a grievance report from Mighty Earth and Environmental Investigation Agency regarding alleged environmental non-compliance by PT Sawit Sukses Sejati (PT SSS). Cargill investigated the connections to PT SSS through its suppliers, particularly Sumber Tani Agung and PT Rimba Mujur Mahkota. After supplier engagement, PT Rimba Mujur Mahkota banned sourcing from PT SSS effective May 2023, and Cargill closed the case.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
505,Cargill,ISP-53,Closed,8/2/2016,,2019-07,Indonesia,West Kalimantan,,PT Sintang Raya,,,,"This grievance case involves a community land conflict with PT Sintang Raya, reported through internal monitoring on August 2, 2016. The issue was brought to courts, and Cargill monitored developments through direct suppliers. As of July 2019, the supplier is no longer in Cargill's supply chain.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
506,Cargill,ISP-54,Closed,2019-02,,2019-02,Indonesia,,MIghty Earth,Pundi Group,,,,"Mighty Earth raised a grievance against Pundi Group in February 2019. The case was reported to Cargill, who identified Pundi Group as an indirect supplier. Direct suppliers had already suspended Pundi Group by the time of engagement, and Cargill adopted a no-buy position on the company.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
507,Cargill,ISP-55,In Progress - Investigation,2020-06,,2020-07,Malaysia,,,QL Resources,,,,"A grievance was filed against QL Resources in June 2020 regarding deforestation issues. Cargill contacted their direct suppliers who engage with QL Resources. As a result, QL Resources has committed to implementing a moratorium on land clearing and peatland development, acknowledging non-compliant development after December 2015, and creating a recovery plan to resolve these issues.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
508,Cargill,ISP-56,In Progress,2018-10,,2021-10,Malaysia; Papua New Guinea,,Greenpeace,Rimbunan Hijau,,,,"A grievance was filed by Greenpeace against Rimbunan Hijau in October 2018 regarding deforestation in Malaysia and Papua New Guinea. The supplier has implemented a moratorium as of September 20, 2018, shared concession maps, and committed to No Deforestation, No Peat, No Exploitation (NDPE) policy through Wilmar. Cargill is monitoring the situation as Rimbunan Hijau is an indirect supplier.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
509,Cargill,ISP-57,Closed,2/8/2017,,2020-05,Indonesia; Malaysia,,Greenpeace,Samling Group,,,,"Greenpeace filed a grievance against Samling Group for deforestation in Indonesia and Malaysia. Cargill engaged with direct suppliers Wilmar, Sime Darby, and Intercontinental Specialty Fats who sourced from Samling. After unsatisfactory engagement that prevented monitoring of Samling's palm oil operations, Cargill officially suspended Samling Group from their supply chains in May 2020.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
510,Cargill,ISP-58,Closed,2019-02,,2019-02,Indonesia,,FORESTHINTS.NEWS,Saraswanti Sawit Makmur,,,,"Saraswanti Sawit Makmur was reported in a grievance raised by Foresthints in February 2019. The company was suspended by Cargill's direct suppliers at the point of engagement, and Cargill has adopted a no-buy position on the company. The grievance is identified as ISP-58 and involves an indirect supplier relationship.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
511,Cargill,ISP-59,Closed,2016-11,,10/31/2018,Indonesia,,Rainforest Action Network (RAN),Surya Panen Subur II,,,,"Rainforest Action Network filed a grievance against Surya Panen Subur II in November 2016 regarding deforestation concerns. As a response, Cargill removed Surya Panen Subur II from its supply chain. Cargill indicated they would discuss with their direct suppliers about the milestones required for SPS II to demonstrate compliance with their policy.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
512,Cargill,ISP-60,In Progress - Investigation,2020-09,,2020-09,Indonesia,Aceh,,Syaukath Sejahtera,,,,"Rainforest Action Network raised a grievance against Syaukath Sejahtera for deforestation issues, particularly related to sourcing from PT Tualang Raya. Cargill has reached out to their direct supplier for investigation and considers PT Tualang Raya a non-compliant plantation. Syaukath Sejahtera has ceased sourcing from PT Tualang Raya and committed to an action plan that includes creating an NDPE Policy, submitting traceability information, and conducting risk assessments.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
513,Cargill,ISP-61,In Progress,2018-07,,2018-07,Indonesia,Riau,Eyes on the Forest,Tesso Nilo landscape,,,,"This grievance involves allegations of sourcing palm oil from the Tesso Nilo national park. Eyes on the Forest reported that several mills were receiving Fresh Fruit Bunches (FFB) from illegal sources within protected areas. Some mills denied the allegations while PT Inti Indosawit Subur acknowledged receiving FFB from illegal sourcing areas through a dealer, who was subsequently suspended.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
514,Cargill,ISP-62,Closed,2020-08,,2020-10,Indonesia,Aceh,,Teupin Lada,,,,A grievance was filed against PT Teupin Lada for deforestation issues in August 2020. Cargill discovered indirect supply chain connections to PT Teupin Lada and reached out to direct suppliers for investigation. PT Teupin Lada subsequently ceased sourcing from non-compliant plantation PT Indo Alam and achieved 100% traceability to plantation by September 2020.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
515,Cargill,ISP-63,In Progress - Investigation,2016-09,,2018-07,Indonesia,,Greenpeace,TH Plantation,,,,"Greenpeace filed a grievance against TH Plantation for deforestation in September 2016. THP agreed to stop further land-clearing while a review was conducted, and a moratorium was put in place. Wilmar conducted a site visit and developed an action plan to support THP's sustainability practices. When allegations of continued clearing emerged, THP clarified this was due to stacking activities on previously cleared land.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
516,Cargill,ISP-64,Closed,2018-11,,2018-11,Indonesia,,Mighty Earth,Tsani Hutani Abadi,,,,"Mighty Earth filed a grievance against Tsani Hutani Abadi in November 2018. The company was suspended by Cargill's direct suppliers at the point of engagement, and Cargill has adopted a no-buy position on the company. The case status is currently suspended.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
517,Cargill,ISP-65,Closed,2017-01,,2017-06,Indonesia,Lampung,Greenpeace,Tunas Baru Lampung,,,,"Greenpeace raised a grievance against Tunas Baru Lampung (TBL) regarding development on peat in January 2017. Cargill engaged with direct suppliers about the allegations, and TBL implemented a moratorium while verifications were ongoing. Eventually, GAR and Wilmar stopped sourcing from TBL, and TBL is no longer in Cargill's supply chain.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
518,Cargill,ISP-66,In Progress - Investigation,2018-08,,2020-07,Indonesia,,Mighty Earth,Widya Corporation,,,,"The grievance involves allegations of deforestation by PT MIP, reported by Mighty Earth in August 2018. Cargill engaged with direct suppliers and found that a stop work order was implemented, with HCS and HCV assessments completed. PT MIP committed to a peer review of the assessments and promised to only develop areas outside of HCS-HCV identified lands, including for plasma areas requested by local communities.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
519,Cargill,ISP-67,In Progress - Investigation,2020-08,,2021-06,Malaysia,Pahang,,Yayasan Pahang,,,,"This grievance involves allegations against YP Plantation for peat development and land prepared for clearing, with concerns that mills in Cargill's supply chain are sourcing FFB from Yayasan Pahang. After the grievance was raised in August 2020, YP Plantation issued a stop work order and later partnered with Global Environment Centre to implement a recovery project to conserve and rehabilitate 4800ha of forested and degraded peatland in the Pekan Forest Reserve.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
520,Cargill,ISP-68,In Progress - Investigation,2021-01,,2021-02,Malaysia,Johor,,Yayasan Pelajaran Johor,,,,"A grievance was filed against Yayasan Pelajaran Johor in January 2021 for deforestation. Cargill, who has an indirect supplier relationship with the organization, has reached out to their direct suppliers for more information about the alleged land clearing. The direct supplier is currently investigating the allegations.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
521,Hershey,24-08-001-1,In Progress - Investigation,2024-08,,2024-08,Indonesia,,Mighty Earth,PT Prasetya Mitra Muda: NSS Group,,,,A grievance was raised against PT Prasetya Mitra Muda: NSS Group for alleged deforestation and/or peatland development. The allegation was reported by Mighty Earth in Rapid Response report 45. Hershey is connected to PT NUSANTARA SAWIT PERSADA through Bunge according to their H2-2023 mill list.,,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
522,Hershey,24-08-001-2,In Progress - Investigation,2024-08,,2024-08,Indonesia,,Mighty Earth,PT Inti Kabun Sawit: Fangiono family,,,,"A grievance was raised against PT Inti Kabun Sawit (Fangiono family) for alleged deforestation and peatland development as reported by Mighty Earth. Hershey contacted their supplier who indicated PT Inti Kabun Sawit is not in their supply chain but is connected to First Resources via suppliers. Hershey and their supplier continue to monitor the RSPO Complaints Process regarding First Resources, FAP Agri, and Cilinadry Anki Abadi.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
523,Hershey,24-08-001-3,In Progress - Investigation,2024-08,,2024-08,Malaysia,Sabah,Mighty Earth,Serijaya Industri Sdn Bhd: Innoprise Group,,,,"A grievance was raised against Serijaya Industri Sdn Bhd (Innoprise Group) alleging deforestation and/or peatland development. The issue was reported by Mighty Earth in Rapid Response report 45. Hershey contacted the supplier, who clarified the entity is actually Yayasan Sabah and that the alert overlaps with riparian and steep areas.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
524,Hershey,24-08-001-4,In Progress - Investigation,2024-08,,2024-08,Malaysia,,Mighty Earth,Mutiara Pelita Genaan Plantation: Double Dynasty Group,,,,"Mighty Earth reported allegations of deforestation and/or peatland development against Mutiara Pelita Genaan Plantation (Double Dynasty Group) in Rapid Response report 45. Hershey contacted their supplier regarding the investigation and discovered the tier 1 supplier had suspended Double Dynasty in 2019. The supplier updated their mill list to accurately reflect mill status, removing Mutiara Pelita Genaan.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
525,Hershey,24-08-001-5,In Progress - Investigation,2024-08,,2024-08,Malaysia,,Mighty Earth,Medan Mestika Sdn Bhd: Wong Kei Nai family,,,,"Medan Mestika Sdn Bhd was reported by Mighty Earth for alleged deforestation and peatland development. Hershey investigated the grievance, finding the supplier was in their H2-2023 supply chain but not in H1-2024. The supplier claimed the clearance was out of scope as Medan Mestika does not share the same parent company as WTK.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
526,Hershey,24-06-001-1,In Progress - Investigation,2024-06,,2024-06,Indonesia,Kalimantan,Mighty Earth,PT Kalimantan Hamparan Sawit: ABM Group,,,,"The grievance against PT Kalimantan Hamparan Sawit: ABM Group involves allegations of deforestation and peatland development reported by Mighty Earth. Evidence of deforestation was confirmed in June 2024. Bunge suspended ABM Group due to non-compliance with NDPE (No Deforestation, No Peat, No Exploitation) commitments.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
527,Hershey,24-06-001-2,In Progress - Investigation,2024-06,,2024-06,Indonesia,,Mighty Earth,PT Banyan Tumbuh Lestari: Provident Group,,,,PT Banyan Tumbuh Lestari was reported by Mighty Earth for alleged deforestation and peatland development. Hershey's had connections to Provident Group in H1-2023 but no longer shows connections as of H2-2023. Provident Agro indicated they sold palm subsidiaries including PT Banyan Tumbuh Lestari in 2021.,,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
528,Hershey,24-05-001,In Progress - Investigation,2024-05,,2024-06,Indonesia,,Sekretariat Lem BAH,PT Sarana Esa Cita,,,,"Allegations and concerns were raised about PT Sarana Esa Cita, a Musim Mas subsidiary, regarding imposed HCV/HCS without Free, Prior and Informed Consent. Hershey is monitoring the situation through Musim Mas's grievance log. As of June 2024, Hershey learned of a police investigation into this dispute and encouraged public acknowledgment by Musim Mas through a direct supplier.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
529,Hershey,24-04-002,In Progress - Investigation,2024-03,,2024-05,Indonesia,West Kalimantan,,PT Lahan Agro Inti Ketapang (LAIK),,,,Allegations of deforestation and peatland development by PT Lahan Agro Inti Ketapang (LAIK) in West Kalimantan were reported by Nustantara Atlas. The supplier may be connected to Hershey's supply chain through mills in their H1-2023 mill list. Hershey is investigating the connection while Bunge reports that LAIK has ceased land clearing and is working toward NDPE commitment.,,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
530,Hershey,24-03-001-1,In Progress - Investigation,2024-03,,2024-05,Malaysia,Johor,Mighty Earth,PT Kusuma Alam Sari: Alas Kusuma Group,,,,A grievance was raised against PT Kusuma Alam Sari (Alas Kusuma Group) for alleged deforestation and peatland development as reported by Mighty Earth in Rapid Response report 43. Bunge's grievance log indicates the Alas Kusuma Group is blocked due to no connections in the previous quarter. Hershey is seeking more details from Earthworm Foundation and engaging with suppliers on potential connections.,,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
531,Hershey,24-03-001-2,In Progress - Investigation,2024-03,,2024-05,Malaysia,Johor,Mighty Earth,PIJ Plantation and Agriculture SB: Johor Government,,,,A grievance was raised against PIJ Plantation and Agriculture SB regarding allegations of deforestation and/or peatland development as reported by Mighty Earth. Hershey is working with Earthworm Foundation to understand more details while engaging with suppliers on potential connections. Bunge indicated they will investigate whether PIJ enters its supply chain via other third-party commercial mills.,,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
532,Hershey,23-06-001,In Progress - Investigation,2023-06,,2023-09,Ecuador,,Mongabay,La Fabril,,,,"The grievance against La Fabril alleges land and community conflict in Ecuador, where Energy & Palma Group is operating on ancestral lands that the Barranquilla de San Javier community is trying to reclaim. La Fabril shared an Action Plan implemented from July 2022 to May 2023, following a public statement on the initial plan. Both parties have expressed interest in using the RSPO Dispute Settlement Facility mechanism to resolve the issue.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
533,Hershey,23-03-001-1,In Progress - Investigation,2023-03,,2023-03,Indonesia,,Mighty Earth,PT Sebuku Inti Plantation: CCM Group,,,,"PT Sebuku Inti Plantation (PT SIP) was reported by Mighty Earth for alleged deforestation. Multiple Hershey suppliers including AAK, Bunge, and Fuji took actions ranging from requesting moratoriums to stopping sourcing. PT SIP implemented a stop work order in February 2023 and developed plans for HCV-HCS assessment.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
534,Hershey,22-05-001-1,In Progress - Investigation,2022-05,,2022-07,Indonesia,,Mighty Earth,PT Sawit Sukses Sejati: Group,,,,"PT Sawit Sukses Sejati Group faced allegations of deforestation and peatland development reported by Mighty Earth. Multiple suppliers including PT Sumber Tani Agung ceased sourcing from PT SSS after becoming aware of the Mighty Earth report. Hershey reached out to direct suppliers to understand their engagement with the palm company, while additional investigation into ownership connections continued.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
535,Hershey,22-05-001-2,In Progress - Investigation,2022-05,,2022-07,Indonesia,,Mighty Earth,PT Usaha Sawit Unggul: Group,,,,"Mighty Earth reported allegations of deforestation and peatland development against PT Usaha Sawit Unggul Group in Rapid Response report 39. Hershey contacted suppliers to investigate connections with the accused company, finding that PT Sawit Sukses Sejati was no longer consistently supplying to PT Sumber Tani Agung after building their own mill. Multiple suppliers ceased sourcing from the implicated companies, and AAK confirmed the entities are no longer in their supply chain following ownership investigation.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
536,Hershey,22-07-001,Closed,2022-07,,2022-07,Brazil,,Nordea,Brasil BioFuels (formerly Biopalma),,,,"A grievance was raised against Brasil BioFuels alleging deforestation, human rights violations, and land conflicts. Chain Reaction Research and Farmlandgrab.org published details about the allegations, with Global Witness making additional outreach about land conflict allegations. Hershey contacted their direct supplier connected to Brasil BioFuels to investigate the reported land clearance and land-grabbing, ultimately placing a No Buy order on the supplier in December 2022.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
537,Hershey,22-04-001,In Progress - Investigation,2022-04,,2022-12,Indonesia,Central Kalimantan,The Gecko Project; BBC; Mongabay,Indonesia Plasma Scheme (PT Agrolestari Sentosa & Others),,,,"The Gecko Project raised allegations of plasma violations against PT Agrolestari Sentosa, a palm oil supplier linked to Hershey. Hershey contacted direct suppliers regarding these allegations and received feedback from GAR about their plasma scheme. The Gecko Project published additional reports on plasma violations and methodology, prompting Hershey to reach out to suppliers connected to the entities mentioned in the reports.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
538,Hershey,18-06-001,Closed,2018-06,,2023-04,Indonesia,,Mongabay; Friends of the Earth US; WAHLI,Astra Agro Lestari,,,,"The grievance against Astra Agro Lestari involves concerns about deforestation near the Martabe mine and potential threats to Tapanuli orangutans. Multiple companies including Bunge, Fuji, AAK, and Cargill have been engaged regarding this issue, with Bunge stopping direct sourcing from PT AAL since December 2020. Hershey requested that Jardines implement a moratorium on land conversion and sign an MOU with the IUCN AARC Task Force to protect the Tapanuli orangutan, though the MOU that was eventually signed was not renewed after December 2022.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
539,Hershey,22-02-001,Closed,2022-02,,2023-06,Indonesia,Sumatra,Mongabay,PT Dewa Rencana Perangin Angin,,,,"PT Dewa Rencana Perangin Angin was investigated for human rights and labor issues including potential forced labor. Hershey issued a 'No Buy' order in August 2022 after allegations emerged. Two people were convicted with 19-month sentences, though one was released after serving half the sentence. Hershey continues to maintain its 'No Buy' order on the supplier.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
540,Hershey,21-12-002-1,In Progress - Investigation,2021-12,,2022-05,Indonesia,,Mighty Earth,PT Multipersada Gatramegah: Musim Mas,,,,"A grievance was raised against PT Multipersada Gatramegah: Musim Mas for alleged deforestation and peatland development, as reported by Mighty Earth in Rapid Response report 37. Fuji closed the case after confirming the area was not HCV or HCS, while Musim Mas filed a complaint with HCSA about the report being published without consultation. The land clearing may have occurred on scrub forests rather than HCS forests, and Hershey continues to monitor the situation.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
541,Hershey,21-12-002-2,In Progress - Investigation,2021-12,,2022-01,Indonesia,,Mighty Earth,PT Kencana Alam Permai: Dharma Satya Nusantara Tbk (DSN),,,,PT Kencana Alam Permai was accused of deforestation and peatland development by Mighty Earth in their Rapid Response report 37. GAR's engagement with DSN revealed that local communities were responsible for land clearance for farming in an area not yet controlled by PT KAP. Verification reports are available on GAR's grievance log.,,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
542,Hershey,21-10-001,In Progress - Investigation,2021-10,,2022-12,Indonesia,Riau,Tempo; Mongabay; Betahita; Auriga Nusantara,PT Tasma Puja; PT Ciliandra Perkasa; PT Padasa Enam Utama; PT Rezeki Kencana,,,,"A grievance was raised against multiple palm oil suppliers, including PT Tasma Puja, PT Ciliandra Perkasa, PT Padasa Enam Utama, and PT Rezeki Kencana, for alleged deforestation, peatland development, and operating in forest areas. Hershey contacted its direct suppliers and requested action plans addressing forest permits, FFB traceability, remediation plans, and due diligence systems. Progress updates show some suppliers implementing moratoriums, improving traceability, and addressing plasma implementation, while others faced purchasing suspensions from indirect suppliers.",,https://www.thehersheycompany.com/content/dam/hershey-corporate/documents/responsible-sourcing/palm-oil-sourcing/The%20Hershey%20Company%27s%20Palm%20Oil%20Grievance%20Log.pdf,
