pk,source,internal_id,status,submitted_on,accepted_on,last_updated_on,country,region,complainants,respondents,respondent_sector,respondent_parent_company,respondent_supplier,summary,history,external_link,extras
177,Golden Agri-Resources,6,Closed - Not in Supply Chain,3/31/2017,,12/20/2021,,,Rainforest Action Network (RAN),Indo Sawit Perkasa,,,Indo Sawit Perkasa,RAN reported PT Indo Sawit Perkasa (ISP) was caught destroying lowland rainforest in Singkil-Bengkung area.,"31/03/17: RAN issued a report : http://bit. ly/2PMG8Cy saying that PT Indo Sawit Perkasa (ISP) caught destroying the lowland rainforest of Singkil-Bengkung. GAR does not have any direct commercial relationship with PT. ISP. GAR investigating if ISP is part of a larger business group. GAR contacted its suppliers within 50 km radius of PT ISP to check if they have any commercial or other relationship with ISP. GAR is also working with suppliers on improved transparency and traceability of their FFB supply including encouraging its suppliers to publish a list of their suppliers. GAR preparing multi-stakeholder event involving stakeholders from government, industry, academia and civil society to discuss how to develop responsible palm oil in Aceh. GAR sharing the RAN report with its suppliers, prioritising mills that are located within 50 km of the boundaries of Leuser Ecosystem. 2/5/17: GAR conducted FGD with NGOs in Aceh on their views concerning the Leuser Ecosystem. FGD is part of preparation for Smart Seed workshop. 3-5/5/17: As part of its supplier development programme, GAR conducted a sustainable palm oil training for its 12 suppliers around Leuser. A mini FGD with the participants was also held. See: https://www. youtube. com/watch?v=wCRIe73f6Dk9/2/18: Site visit report and action plan on ISP published on Sustainability Dashboard: http://bit. ly/2KrcRIj",,
178,Golden Agri-Resources,7,Closed,5/5/2015,,6/30/2015,,,Forest Peoples Programme (FPP),Kartika Prima Cipta,,,Golden Agri-Resources,Allegations of planting along banks of Lake Marsedan by PT Kartika Prima Cipta (PT KPC) in West Kalimantan.,"May 2015: GAR deployed a team to investigate. Initial findings indicated that flooding in the Lake Marsedan catchment area has caused the lake to expand. Jun 2015: GAR conducted Participatory Mapping (PM) and identified Lake Marsedan's normal boundaries and riparian edges. Following the PM with Lake Marsedan community in May-June 2015, GAR conducted public consultations on options for the management of the riparian zone at Lake Marsedan. As it is defined as protected area, Company will enclave the area and return it to central government (in accordance with Indonesian law).",,
179,Golden Agri-Resources,8,Closed,5/20/2015,,4/1/2020,,,Greenomics Indonesia,Permata Putera Mandiri; Putera Manunggal Perkasa; Kayung Agung Lestari,,,Austindo Nusantara Jaya,"Allegations of forest clearing by palm oil supplier PT Austindo Nusantara Jaya Agri (PT ANJ), in Sorong, West Papua, Indonesia. Media report related to fire and haze involving GAR supplier: PT Kayung Agro Lestari (KAL) on 10/6/2015. In a report titled 'A Deadly Trade-Off', Greenpeace reported that IOI Group continued to buy palm oil from third-party suppliers linked to environmental destruction and exploitation (Austindo Nusantara Jaya, Eagle High Plantation/Rajawali, Goodhope/Carson Cumberbatch, Korindo, Indofood, Tabung Haji Plantations. Mighty Earth Rapid Response Report No. 6: Companies allegedly carrying out deforestation: PT. Permata Putra Mandiri, PT. Berau Karetindo Lestari, PT. Pipit Citra Persada, PT. Subur Karunia, BLD Plantation Bhd, PT. Rayatama Jaya, PT. Condong Garut, PT. Sumur Pandan Wangi, PT. Mulia Inti Perkasa, PT. Prasetya Mitra Muda. Palm oil companies linked to GAR suppply chain are PT. Sumur Pandanwangi, PT. Mulia Inti Perkasa, Prasetya Mitra Muda and PT. Krida Dharma Kahuripan. Mentinoned in Greenpeace's report 'Final Countdown' on 19/9/18.","27/5/15: GAR met ANJ, which did not provide enough information to show compliance with GAR policies. 29/5/15: GAR encouraged ANJ to take steps to address issues but no action was taken 6/10/15: GAR contacted PT Kayung Agro Lestari for clarification. KAL is a subsidiary of ANJ. KAL denied reports and stated the fires occurred outside of their concession. GAR continues to engage ANJ Agri on these issues. 8/2/19: An online news portal published report on ANJ: http://bit. ly/2BWsuo5",,
180,Golden Agri-Resources,9,Closed - No Longer in Supply Chain,6/4/2015,,8/6/2015,,,Greenomics Indonesia, Kalimantan Sawit Abadi; Borneo Sawit Gemilang; Sawit Mandiri Lestari,,,Sawit Sumbermas Sarana,PT KSA reportedly conducting new planting through the clearing of forested peatlands and orangutan habitat. PT BSG reportedly conducting deforestation and peatland development. PT SML reportedly developing secondary forests which were orangutan habitat.,"15/6/15: GAR met SSMS and continued to talk to SSMS as to achieving compliance with GAR's sustainability policy for all of SSMS subsidiaries. 5/8/15: GAR's verification team still received evidence that indicated active clearance on KSA concession. 6/8/15: GAR has deemed SSMS as non-compliance with GAR Sustainability Policy (GSEP). An official letter was sent to SSMS management. 15/1/16: SSMS held a buyer gathering event in Jakarta to give its buyers a sustainability update. 17/1/16: SSMS released an official statement in its website claiming KSA had complied with RSPO and government regulation. 3/9/16: In meeting with GAR, SSMS said that land clearing that had happened since 19th June 2015 was due to an internal miscommunication as well as plasma demand insisted by the local community. 7/10/16: SSMS had a meeting with GAR presenting consultants it was commissioning to verify allegations related to KSA. (Daemeter, Remarks Asia, IPB, BOSF). 20/10/16: GAR had a meeting with SSMS in Pangkalan Bun to get an update on its sustainability initiatives particularly on KSA: a. SSMS management claimed that it had decided to stop land clearing in KSA since November 2015. b. SSMS stated it would comply with recent government regulation that prohibits development on peat. c. An independent verification was carried out by Remark Asia dan Daemeter on 4-10 Dec 2015. The report confirmed that a forest and peat clearance had happened in KSA. It also confirmed Desa Kondang residents wanted to have a plasma area in KSA concession. Remark Asia and Daemeter acknowledged studies commissioned by KSA towards sustainable palm oil practices. d. SSMS also commissioned other studies/projects in KSA such as Carbon Study (Cerindo), orangutan population survey (BOSF) - MOU is ready to be signed for a two-year biodiversity study (Univ. Mulawarman), and HCV study (Aksenta). e. Other initiatives included Water Management at Batu Kotam, management decree on 26 Sep 2016 about KSA area of which 590 of the total of 1,800 hectares would be conserved for HCV, 1 million mangroves project in Desa Kubu and TWA Tanjung Kaluang and conservation of Owa and Tarsius. In addition to verifications carried out by independent parties, SSMS agreed that GAR would conduct its own verification visit at KSA. 5-7/12/16: GAR carried out a site visit at KSA. 13/9/17: SSMS launced new sustainability policy at a group level which includes identification and protection of HCV and HCS forests: http://bit. ly/2KytvWs28/9/17: GAR met SSMS to discuss KSA site visit report and to give recommendations about SSMS new sustainability policy. 24/10/17: GAR conducted HCS training for SSMS team using the latest HSCA toolkit. Dec 17: GP's report on Deforestation case studies mentioned PT. Sawit Mandiri Lestari committed land clearing of 4,800 ha of secondary forest between March 2016 and Oct 2017 in Central Kalimantan. PT SML allegedly linked to CBI, the parent company of SSMS. 13/2/18: GAR met SSMS to discuss progress of its sustainability implementation and action plan. 11/4/18: GAR and SSMS had a meeting to discuss their progress and action plan. SSMS claimed that SML had been sold to another company that had no link to the group. GAR recommended SSMS make a public announcement in response to the allegations that were reported earlier by Chainreaction Research: http://bit. ly/2QnQ6XV26/4/18: Report by Foresthints: http://bit. ly/2zwctTWhttp://bit. ly/2qxl9VW19/5/18: SSMS published its official response to the Foresthints report: http://bit. ly/2Qkuejj. 23/5/18: Report by Foresthints: http://bit. ly/2RbSykU",,
181,Golden Agri-Resources,10,Closed - No Longer in Supply Chain,6/5/2015,,5/12/2016,,,Action Network - Forest Heroes; Greenpeace,Setia Agrindo Lestari,,,First Resources,"Allegations of peat clearance and social conflict by PT Setia Agrindo Lestari (SAL), which is partly owned by First Resources. Mentioned in Greenpeace ""Final Countdown"" report on 19/9/18.",12/6/15: FR adopted Policy on Sustainable Palm Oil. FR has said they will take responsibility for addressing issues related to SAL in line with their policy commitments. 12/5/16: GAR met FR who clarified that they have a minority stake in SAL and asked SAL to agree to suspend land clearance. GAR is no longer sourcing from First Resources.,,
182,Golden Agri-Resources,11,Closed,6/17/2015,,1/23/2019,,,Greenomics Indonesia,Varia Mitra Andalan,,,Eagle High Plantation,"Allegations of HCS clearance in a concession owned by PT Varia Mitra Andalan (VMA), a subsidiary of PT Eagle High Plantation (EH).",19/6/15: GAR began engaging with EH. EH shared HCV report on VMA and engaged HCS assessors. 23/11/15: EH updated GAR on steps it has been taking to address VMA issues and agreed to share HCS study on VMA. Jan 2016: EH launched its new website with a sustainability section and updated its RSPO profile with its commitments: http://bit. ly/2U5vBlj22/2/16: Shared draft summary of HCS report on VMA conducted in January 2016. It does not plan to carry out any land clearing in 2016. - EH has begun the HCV compensation process with RSPO as part of its effort to get BLP RSPO certification in 2016. - EH management will report its progress to GAR on a monthly basis. 5/8/16: GAR and TFT finished reviewing VMA's HCS report. 20/9/16: EH attended HCSA Steering Committee meeting in Singapore 30/9/16: GAR shared with EH HCS approach and experience in implementing long-term forest conservation in Kapuas Hulu District. EH submitted VMA HCS study report to HCSA steering committee for peer review. The peer review is now in progress. http://bit. ly/2Qzyvzu23-26/10/17: GAR did joint site visit with IOI and Daemeter to observe progress on the groundDec 2017: Peer review of VMA HCS study is complete and can be seen at: http://bit. ly/2APg3Jk http://bit. ly/2DUhNUO21-25/1/18: GAR provided VMA with training on FPIC and Participatory Mapping 9/2/18: GAR shared our commitment to TTP to EH. 8/3/18: Report by Foresthints: http://bit. ly/2Q8PI3x14/3/18: EH and Greenomics met to discuss VMA updates 23/01/19: In light of the above development we consider this grievance closed for monitoring.,,
183,Golden Agri-Resources,12,Closed,9/27/2016,,4/1/2021,,,Greenpeace,Arrtu Energi Resources,,,Eagle High Plantation,"In the report ""A Deadly Trade-Off"", Greenpeace said that the IOI Group continued to buy palm oil from third-party suppliers linked to environmental destruction and exploitation including PT Arrtu Energie Resources (Eagle High Plantation/Rajawali). EHP is also a supplier of GAR's. In Nov 2019, Greenpeace also mentioned PT AER in its report 'Burning Down the House'. In Dec 2019, Mighty Earth Rapid Response Report No. 22 reported indications of 109 Ha deforestation inside PT Arrtu Energie Resources concession for the period of Jul 14 and Nov 13, 2019.","30/9/16: In meeting with GAR, Eagle High said the areas where deforestation and fires happened in PT Arrtu Energi Resources concession are currently not under their control and that local communities are involved in the deforestation. GAR requested documentation and recommended a land tenure study. 28/12/16: EH met GP to share its response and said it was willing to share HCV study with GP. EH agreed with GAR's recommendation to conduct a land tenure study. GAR to provide training on land tenure study for the EH team in Jan/Feb 2017. GAR also recommended that PT AER to be involved in the Landscape Project in Ketapang, West Kalimantan. An initial meeting between EH and Aidenvironment planned for Jan 2017. 23/01/17: GAR facilitated a meeting between Aidenvironment and EH in Bogor to discuss the Kalbar (West Kalimantan) Landscape project. EH to study the possibility of taking part in the project. 28/2-2/3/17: GAR and TFT conducted sustainable palm oil training for EH which included Land Tenure Study. 7/2/17: AER shared its HCV assessment report. The report is being reviewed by GAR and TFT.",,
184,Golden Agri-Resources,13,Closed,7/31/2015,,11/30/2015,,,Greenomics Indonesia,Syaukath Sejahtera,,,Syaukath Sejahtera,HCS and HCV clearance in concession of PT Syaukath Sejahtera (SS) in Nanggroe Aceh Darussalam.,31/7/15: GAR met Greenomics and PT Syaukath Sejahtera (SS). An initial action plan was agreed on to address the following items:- Establish legality of concession - Verify reported land clearance by burning - HCV clearance - Clearance of HCS Forest. Following several meetings with SS and Greenomics conclusive findings could not be obtained. GAR proposed SS agree to a site verification visit. SS agreed to allow GAR and TFT to conduct a site visit of SS to address Greenomics' concerns. It will also work with GAR on policy implementation. 30/11/15: Site visit was carried out and a report drafted. This grievance is considered closed as SS has been included in GAR's Agregator Refinery Transformation (ART) Programme for monitoring.,,
185,Golden Agri-Resources,14,Closed,9/15/2015,,2/22/2017,,,Action Network - Forest Heroes,Langgam Inti Hibrida,,,Provident Agro,"Request for information by Forest Heroes about GAR's action regarding media reports of palm oil companies contributing to the haze crisis: Provident Agro, Tempirai Palm Resources and Waymusi Agro Indah.","15/9/15: An inquiry by Forest Heroes was filed through our Grievance Process regarding GAR's relationship with 3 companies alleged to have caused fires: Provident Agro, Tempirai Palm Resources and Waymusi Agro Indah. One of the 3, Provident Agro is a supplier of GAR. GAR contacted Provident Agro to obtain information about their subsidiary, PT Langgam Inti Hibrindo (LIH) whom authorities have alleged is linked to causing fires. 18/9/15: GAR met Provident Agro to get further clarification on cause of fires and efforts to prevent, monitor and combat fires. 23/9/15: Due to the Indonesian government ' s reported suspension of LIH's license to operate , GAR halted purchases from LIH, pending further clarification. 9/10/15: GAR received confirmation that PT Langgam Inti Hibrindo's business license was suspended by Ministry of Environment and Forestry. Suspension of purchases remained in effect. 25/1/16: LIH's business license was reinstated by the government based on SK Menteri LH dan Kehutanan No SK39/2016. SK12/5/16: GAR and LIH held a meeting: a. LIH confirmed it had resumed operations and that the suspension of its Environmental Permit was lifted by the government on 21/1/16 b. LIH has disclosed the legal proceedings related to the forest fires in its 2015 annual report: (link: http://bit. ly/2E04ZML )c. LIH shared with GAR documents showing its efforts in anticipating the next dry season and in fire prevention including: i. Report and checklist of 100% readiness and availability of firefighting equipment as required by the government (based on DIRJENBUN 2010 and KEPDIRJEN PHPA No. 247/kpts-VI/1994). ii. Reports of training of personnel in firefighting and fire prevention by the government's firefighting agency. 9/6/16: The Pelelawan Riau District Court found LIH was not guilty of causing forest fires. June 2016: Pelelawan District Attorney filed an appeal with the Supreme Court. 22/2/17: LIH's parent company, Provident Agro, published its 2016 annual report. Re the case of LIH, on page 126 it stated: 'Legal proceeding against Mr. Frans Katihokang at the District Court of Pelalawan has obtained District Court of Pelalawan Decision on 9 June 2016 which discharged Mr. Frans Katihokang from all claims and reinstated his reputation. At present time, this legal case in the process of appealing investigation by Supreme Court. Meanwhile legal filing against PT LIH has been ceased by Riau District Police on 27 April 2016 due to insufficient evidence. ' http://bit. ly/2Q7H4CiBased on this we consider this grievance closed.",,
186,Golden Agri-Resources,15,Closed,9/17/2015,,4/26/2016,,,Media Reports,Cipta Usaha Sejati,,,Pasifik Agro Sentosa,Local media report that Ketapang District police were investigating 4 companies suspected of burning to clear land including PT Cipta Usaha Sejati.,"29/9/15: GAR contacted PT Cipta Usaha Sejati (CUS) and they stated the report was false. 19/10/15: CUS submitted its fire fighting SOP and documents regarding its fire preparedness. 10/3/16: GAR met CUS. They reiterated that the fire was started outside its concession by a person from the local community. 22/3/16: CUS submitted a police report on the incident which alleged that a person from the local community caused the forest fire at Gunung Badung conservation area which subsequently spread to the CUS concession. 26/4/16: Following the investigation, the local Police Department has stated that the suspect from the local community was arrested in Sept 2015 with the help of CUS. They also confirmed that PT CUS had proactively helped the authorities in anticipating, fighting and putting out fires. Based on the latest developments, GAR considers the grievance closed.",,
187,Golden Agri-Resources,16,Closed,9/18/2015,,4/6/2021,,,Media Reports,Ricky Kurniawan Kertapersada,,,Matahari Kahuripan Indonesia (MAKIN),Media report alleged two companies operating in Jambi carried out burnings and were being investigated by Jambi Provincial Police Department.,"One of the companies, PT Ricky Kurniawan Kertapersada (RKK) is a GAR supplier. 18/9/15: GAR contacted RKK to clarify the issue23/9/15: RKK issued a circular to its customers concerning the forest fire and stated that the company has a zero burning policy. The fire had started on 26 August 2015 outside their concession area. It spread into RKK area and was eventually put out by RKK working together with the local fire department. RKK acknowledged they were under police investigation. 30/9/15: GAR requested a meeting with RKK. 6/10/15: GAR met RKK management who shared information, documents and photographs on RKK's zero burning policy, firefighting SOPs and fire suppression plans. a. RKK acknowledged that one of their employees was summoned as a suspect on 7/10/15 and a lawyer has been appointed by the Company. 2. RKK agreed to a site verification visit by GAR and TFT. 3. GAR studied documents submitted and continued to monitor the progress of official investigations. 14-18/11/15: GAR and TFT conducted a site visit. April 2016: TFT completed compiling the verification report. 15/4/16: GAR met RKK to discuss the fire and haze report and action plan. 25/4/16: RKK management approved GAR-proposed action plan and began implementation. 29/7/16: PT RKK updated GAR on progress. GAR considers this grievance is closed and continues to monitor the action plan progress.",,
188,Golden Agri-Resources,17,Closed,7/17/2018,,10/8/2018,,,Mighty Earth,Krida Dharma Kahuripan,,,Allegedly managed by Matahari Kahuripan Indonesia (MAKIN),"Mighty Earth published Rapid Response Report No. 5: Palm oil comapnies allegedly committing deforestation: PT Palem Segar Lestari, PT Megakarya Jaya Raya, PT Kartika Cipta Pratama, PT Krida Dharma Kahuripan, PT Kapuasindo Palm Industry, PT Rimba Karya, PT Rayatama Jaya, PT Harapan Rimba Jaya, and PT Persada Kencana Prima. Of those, companies linked to GAR supply chain at group level are PT KPI, PT RJ, PT HRJ, and PT KDK. Mighty Earth Rapid Response Report No. 6: Companies allegedly committing deforestation and linked to GAR supply chain: PT Sumur Pandanwangi, PT Mulia Inti Perkasa, Prasetya Mitra Muda and PT Krida Dharma Kahuripan.","PT Krida Dharma Kahuripan (claimed to be in MAKIN group). 17/7/18: GAR contacted PT KDK and asked for clarification. 17/7/18: PT KDK management shared with GAR its official letter to Regent of Katingan dated 11 July 2017 stating that PT KDK's ILOK (location permit) was returned to the local government as the land was categorised as forest area and could not be converted to non-forest area. 10/8/18: A detailed chronology was sent to GAR for review. 8/10/18: The evidence shows that the clearance inside the APL area of the PT Krida Dharma Kahuripan concession was not conducted by Makin, but by another company. In light of above development, we consider this grievance is closed.",,
189,Golden Agri-Resources,18,Closed,10/4/2015,,10/21/2016,,,Media Reports,Campang Tiga,,,Campang Tiga,Report on website on incident between community and company which resulted in the burning of a company excavator.,"7/10/15: PT Campang Tiga (CT) explained to GAR that the incident was related to a land dispute with another company. The incident was reported to the police. A mediation process was also initiated by the South Sumatera Provincial Government. GAR requested further information and documents from CT. GAR also checked other sources to verify the information. 21/1/16: GAR met CT and was told that it is pursuing mediation with the local community. It had also started legal proceedings against the company which is alleged to be involved in the incident. CT will make a public announcement when the verdict is issued by court. GAR continued to monitor the case and engage with CT. 18-21/10/16: GAR conducted a site visit to CT. In light of the legal proceedings and the fact that CT has been included in GAR ART programme, we consider this grievance is closed for monitoring.",,
190,Golden Agri-Resources,19,Closed,9/14/2015,,11/12/2015,,,Media Reports,Bahari Gembira Ria,,,Sime Darby Plantation,"Media article on GAR supplier PT Bahari Gembira Ria (BGR), having high incidents of fires based on Global Forest Watch info.","9/10/15: GAR contacted BGR and received the following clarification: On 3/9/15, fire was detected outside BGR areas. It eventually spread to within 150 metres of BGR's boundary. The fire was put out by BGR and local community. PT BGR teams verified the hotspots and found that they were located outside the areas controlled by BGR. BGR is not replanting or carrying out new plantings. GAR requested further supporting documents from BGR. 12/11/15: GAR met BGR who handed over documents to show that the fires occurred outside BGR concessions. After examining the information provided and as there have been no further media reports referring to BGR, GAR considers this grievance closed.",,
191,Golden Agri-Resources,20,Closed,11/16/2015,,2/28/2019,,,Greenpeace,Andalan Sukses Makmur; Gunajaya Harapan Lestari;  Hati Prima Agro;  Langgeng Makmur Sejahtera; Damai Agro Sejahtera; PT Lestari Gemilang Intisawit,,,Bumitama Agri,"Greenpeace alleged that two companies PT Andalan Sukses Makmur (ASMR), a subsidiary of Bumitama and PT Bumi Sawit Sejahtera (BSS), a subsidiary of IOI are clearing forest peatlands. Bumitama is a supplier of GAR. FOE also released a similar report. Mentioned in Greenpeace report ""Final Countdown"" on 19/9/18. Mentioned in Greenpeace report ""Dying for a Cookie""","17/11/15: GAR contacted Bumitama for a meeting. GAR also asked Greenpeace for further details. 19/11/15: GAR received further information from GreenpeaceBumitama met and gave GAR the following information: - PT ASMR concession's IUP (Izin Usaha Perkebunan) was granted by the Government of Indonesia and the peat moratorium revision was also issued by the government. - Less than 4,000 hectares will be planted out of the 7,000-hectare concession granted in PT ASMR's IUP. HCV, HCS studies and Participatory Mapping has been conducted for this concession. There is also a land use plan. - Bumitama is committed to its sustainability policy and a large part of the ASMR concession area will be conserved. The conservation area consists of peatlands, HCV and HCS forests. (refer also to Bumitama's announcement dated 12/9/14) - Bumitama is engaging with local communities on the conservation of areas. It has also prepared nurseries of plants to be used in this conservation effort. - The local District Head had asked Bumitama to clear 200 hectares for smallholder plasma development. This area is located in low lying mineral soil and a non-peat area. -Areas to the north of the concession are already planted with oil palm trees owned by other companies. -Re allegations of fires, the fires started outside PT ASMR including from the adjacent Tanjung Puting National Park. The fires were eventually put out. 24/11/15: GAR shared above information with Greenpeace. 4/1/16: FOE released similar report 'Up in Smoke' on Bumitama 11/1/16: GAR met Bumitama and shared their response to the issues in the FOE report: - Bumitama issued report on AMSR which was shared with GAR -On peat, BGA has hired a third party to conduct a survey. The survey identified new areas of peat. These areas will not be developed. The survey also shows that there is no peat in the central region of ASMR as mentioned in Greenpeace report (page 16). - On fire, Bumitama has taken steps to prevent and supress forest fire including fire monitoring, prevention and suppression and working with local community and authorities - On the issue of HCS/HCV clearance, Bumitama announced the results of HCS assessment and peat in PT ASMR in 2014 which indicated that there were 94 hectares of HCV, 2,469 hectares of HCS and 1,756 hectares of peat. This is to show that it remains committed to not developing these areas as defined in the report. - A Rapid Biodiversity (RBD) assessment was conducted in 2015 with a local NGO Yayasan Pendidikan Konservasi Alam. The RBD assessment concluded that the area under review (462 hectares) consists of old scrub, most of which have been logged or used by the community in the past. The study revealed that there are no Critically Endangered plants in and only two species classified as Endangered. The area has limited capacity for wildlife, including orangutan because of its limited size and threats of hunting and community logging. - Social Impact and HCV Assessments were carried out on the area under review (refer above). Bumitama would open an area of 234 ha due to the demand from the local community and government based on a public consultation conducted on 16 June 2015. The other 222 ha would be conserved as potential HCS area. GAR offered to conduct a verification visit as part of GAR's support to BGA. BGA said the verification visit from GAR to ASMR would not be viable but agreed to provide GAR with information in response to further queries. 16/8/16: GAR updated Greenpeace on ASMR grievance handling progress. BGA uploaded its first NDPE policy implementation report (Mar-Sept 2016): http://files. shareholder. com/downloads/AMDA-WWON6/2003302154x0x920620/CC961FD1-4AF3-44F8-8C9B-C8DABB502E20/Sustainability_Policy_Progress_Update_Mar-Sep_2016. pdf5/4/17: Report by Foresthints: http://m. foresthints. news/legal-measures-taken-against-palm-oil-company-fragmenting-peat-forests 23/3/17: BGA released 2016 annual report which highlighted progress of PT ASMR on page 25: ASMR began gradual reforestation of 107 ha previously burnt in 2015. http://www. bumitama-agri. com/asset/upload/storage/report/Bumitama_Agri_AR2016. pdf18/4/17: GAR had meeting with BGA to ask clarification re PT DAS 6/6/17: BGA published clarification on PT. DAS: http://www. bumitama-agri. com/asset/upload/storage/report/News Release - PT DAS clarification. pdf10-13/7/18: GAR conducted a site visit to PT RSI Riau on ART programme19/9/18: GP published report 'Final Countdown' https://www. greenpeace. org/international/publication/18455/the-final-countdown-forests-indonesia-palm-oil/19/9/18: GAR requested clarification from BGA 25/9/18: BGA published its official response http://ir. bumitama-agri. com/static-files/4272c98a-16e2-4856-80be-a58782702d9819/9/18 : We contacted Bumitama Agri re GP's Final Countdown report 11/10/18: GAR met Bumitama for an update. For further details please see: https://goldenagri. com. sg/sustainability-dashboard/files/file_docs/QjMn4gar_and_bumitama_engagement_on_gps_final_countdown_report. pdf",,
192,Golden Agri-Resources,21,Closed,12/2/2015,,5/9/2016,,,Chain Reaction Research (CRR),Agro Lestari Mandiri,,,Golden Agri-Resources,Report by Chain Reaction Research on fire damage in GAR's concessions in PT Agro Lestari Mandiri (PT AMNL) in West Kalimantan.,"Aug 2015: Fires set by unidentified individuals were detected in PT AMNL conservation area. Emergency Response Teams could not reach the fires as the area has no access roads. GAR's fire management measures at PT AMNL include: a)Ensuring GAR staff and affiliates were trained in fire management and suppression b) Engaging with local communities to increase awareness of no burning practicesc) Preparation of infrastructure and implementing fire prevention practices including: - Over 60 Emergency Response Team personnel stationed at PT AMNL- 11 fire monitoring towers - Creation of fire buffers - Rewetting the peat area End-Sep 2015: Fires extinguished after continuous heavy rain. GAR filed police reports on the fires. GAR to use lessons learnt to improve its fire management practices. Based on GAR's investigations and satellite monitoring from Sep - Oct 2015, 590 hectares within conservation area were affected by fire. GAR is unable to verify the 1300 hectares mentioned by Chain Reaction Research in its report. The area does not contain orangutan habitats as noted in previous 2011 HCV report by IPB and 2015 Biodiversity report by Malaysian Environmental Consultants (MEC). 16/11/15: GAR launched a Peat Ecosystem Rehabilitation Project in PT AMNL with MEC involving an area of approximately 2600 hectares which includes land affected by fires. GAR is working together with MEC on steps to rehabilitate the area including: - The restoration of the peatland's hydrology and water-table to prevent further drainage and reduce its fire risk - Consultation and involvement of local communities in the conservation of the area 9/5/16: Author of the report acknowledged receipt of GAR's report on the rehabilitation of the area. As such GAR considers the grievance closed.",,
193,Golden Agri-Resources,22,Closed - With Monitoring,3/10/2016,,6/5/2025,,,Golden Agri-Resources (GAR,Anugerah Energitama; Global Primatama Mandiri; Nusantara Agro Sentosa,,,Palma Serasih,Report against PT Anugerah Energitama (AE) concerning orangutans trapped in the concession. GAR internal monitoring has also detected potential HCS forest clerance at PT Global Primatama Mandiri and PT Nusantara Agro Sentosa (East Kalimantan) since March 2016. GPM and NAS are managed by Palma Serasih.,"Local NGO, Centre for Orangutan Protection (COP) found 13 orangutans trapped in the AE concession in small areas of fragmented forests. They claimed this was due to land clearing activities for palm oil. COP also identified a number of other endangered wild animals in the area. 16/3/16: RSPO received a copy of a letter sent by COP to the Environmental Office (BKSDA) East Kalimantan regarding this issue. The letter also mentioned that AE is supplying FFB to GAR and another company. GAR held meeting with AE: a) AE started land clearing in 2009 b) AE stated their estate is on land zoned as ""APL"" which is Land zoned for other uses, and not zoned as forest area. c) AE acknowledged that orangutans have been spotted in the area but denied COP's allegations. d) AE produced an HCV report issued by Sonokeling in 2016 (surveyed in 2015) based on the HCV Indonesia 2008 toolkit. e) AE stated it was engaging with COP and BKSDA. f) GAR asked AE to share further documentation. 18/3/16: GAR met COP. COP showed evidence of eight orangutan spots, five of which are located in AE concession. COP said it would come up with an action plan for AE. It was also agreed that a joint verification visit should be carried out immediately. 19-22 March 2016: a verification visit was carried out by BKSDA, COP and AE. At end of March 2016, BKSDA issued a report on the tripartite verification explaining that: a) No orangutans were directly spotted during the verification process. b) There were indications of orangutan presence in the form of nests and damaged young oil palm trees. c) AE has set aside a conservation area for protected plants and animals. d) AE needs to be proactive in saving protected animals in its concession and in areas that are affected by its operations. 27/4/16 - 13/5/16: BOSF (Borneo Orangutan Survival Foundation) appointed by AE to conduct an orangutan population survey in its concession. 3/5/16: GAR held meeting with AE and agreed to provide technical support on orangutan protection. BOSF found food remnants and old nests in the AE concession. New nests were also found in the customary forest outside the AE concession. BOSF recommended that AE preserve its current conservation area as well as riparian zones, conserve forest corridors and develop an SOP for orangutan habitat conservation. AE agreed to sign an MOU on orangutan conservation with BOSF. 5/8/16: GAR held update meeting with AE. 2/9/16: AE met BKSDA to present results of the orangutan population survey and conservation management. AE and BKSDA would work together on orangutan conservation. 19/12/16: COP sent a letter to East Kalimantan BKSDA reporting orangutan appearance in PT Global Primatama Mandiri (GPM) concession. PT GPM like AE, is a company in Palma Serasih group. GAR procures from AE but does not procure from PT GPM9/3/17: GAR had a meeting with GPM to ask for clarification:a) 6-8/2/17 East Kalimantan BKSDA conducted a site visit to GPM to verify COP's finding. b) GPM stated it had been aware of the presence of orangutan in its concession before COP sent the letter to BKSDA. c) That is why on 19/8/16 GPM signed a partnership with BOSF to protect orangutan in its concession. GAR has confirmed this partnership with BOSF. d) GPM has also set aside a total area of 4700 ha in its concession for HCV conservation.",,
