Text,Dominant_Topic
1 violation principle 2 2 persistence claim sukajaya transmigration village still demanding rights due illegal operation land still certificates evidence ownership land compensations paid people kinjil village takes 2 years claim kinjil village using land proper consultation compensation previously promised people develop plantation land already agreed certain scale fulfil promise 2 violation principle 6 6 10 6 11 complete comprehensive information people engage partnership scheme understanding promise implementing 50 50 partnership scheme clarity balance credit plantation incentive payment sisa hasil kebun registered name bank name members 6 13 criminalization gusti gelombang representative sukajaya sakabulin villages head cooperative kompak maju bersama 3 violation principle 5 7 destruction graves case handled bilaterally since 2014 escalated police came sawit watchs office arrest gusti gelombang office time,0
complaint matter public interest taken complaints panel 26of july 2015 wsj ran article syed zain al mahmood alleging felda breached labour conditions plantations allegations mainly say forced labour used workers paid minimum wages health working conditions neglected employers withheld passports,4
media reports apsl carried land clearing using fire involved hostage situation rokan hulu district riau province employees environment forestry ministry khlk abducted investigating 2015 forest fires,2
involvement labour right issues mopoli raya,4
eof issued alleging number sourced ffb tesso nilo national park bukit tigapuluh national park bukit betabuh tiger corridor,5
ivo mas tunggal accused various environmental labour issues kompas riau media,0
allegations peat clearance social conflict setia agrindo lestari sal partly owned first resources greenpeace final countdown 9 18,2
eof claimed gar purchased ffb illegally grown harvested cpo contaminated ffb cpo products contaminated cpo eof issued another 8 6 18 alleging number sourced ffb tesso nilo national park bukit tigapuluh national park bukit betabuh tiger corridor,5
early may 2021 mighty earth rapid response 33 indications 25 ha deforestation bumi agro oct mar 2021 bumi agro bumi agro prima managed bybumi gading prima supplier gar,1
1 koperasi koling hapakat use plasma area accordance permission allocated 2 isalleged transfer ownership owned shm sertifikat hak milik koperasi koling hapakat tothe,0
may june 2021 eyes forest eof published titled omnibus law automatic legalization illegal plantations eof investigation riau illegal plantations trade illegal fruit eof listed findings eof investigations involving 43 plantation management units located forest estates based ministerial decree number 903 menlhk setjen pla 2 12 2016 07 december 2016 forest estate riau province identified nine gar supplier namely tri bakti sarimas bukit payung mill gandaerah hendana inecda plantation peputra supra jaya ptpn v sekar bumi alam lestari surya agrolika reksa tasma puja indragiri hulu mill kampar mill tunggal perkasa plantation since publication conducted investigations engaged grievance handling case supplier lodged gar grievance tracker updated regularly order stakeholders follow progress,2
acquired ffb using restrictive competition practices affects smallholders omitted antitrust guidelines,5
allegations raised pertaining variety workers rights violations poor working conditions non provisions subsidy non payment social security bpjs poor safety conditions workers health unreasonable working hours amongst others several workers arrested police protesting pertaining rights,4
1 land claim 1 member nanga suhaid mr saudi 2 land compensation claim 1 member nanga suhaid h kutai 3 water pollution kapuas river affecting fish farmers business production 4 conflict residents village head tanjung regarding water quality 5 conflict residents village head emperiang regarding land acquisition process,0
stated operated land compensation,0
daily casual workers paid minimum wage set musi rawas district government daily casual workers protected remedy available work accidents daily casual workers equipped personal protection equipment ppe equipped working tools daily casual workers receive festive allowance accordance regulation daily casual workers hired third party get pay slip amount written payment receipt formal stamp name party rendered payment,4
amongst allegations fact identified follows forced members give rights land developed plantation thepromises made fulfilled around 2015 carried replanting deep peat areas area 4 000 ha coordination sungai enau village government head farmers respond communitys dispute despite communitys request meet resolve issues raised continues source produce land involving police police sent forced ordered workers continue harvesting argument police one police officers kicked individual recording video situation absent socialisation meeting relevant stakeholder officials despite invited sungai enau village government,0
mighty earth rapid response 45 june 2023 june 2024 918 ha forest loss clearance preparation prasetya mitra muda concession,1
mighty earth rapid response 6 committing deforestation linked gar supply chain rayatama jaya sumur pandanwangi mulia inti perkasa prasetya mitra muda krida dharma kahuripan,3
complaint lodged bybahtera alam sawit watch lembaga adat kenegerian petapahan complaint outlined 7 allegations various topics,4
synopsis sime darby received complaint operating violation principles criteria violation rspo’s new plantings procedure including acquiring lands respecting customary rights free prior informed consent customary land owners represented representative organisations choice p c 2 2 2 3 7 5 7 6 peoples’ land taken 7 5 7 6 clearing lands prior completion new plantings procedure npp,0
desa pergulaan disputing legitimacy land acquisition lonsum desa pergulaan failed comply national laws indonesia carrying land acquisition therefore fpic process flawed questioning validity hgu extension granted government acknowledged complaint engaged bilateral negotiations complainants since early 2013 view addressing outstanding issues 23 july 2013 parties informed principle reached agreement settle dispute bilateral talks start 2014 elections endorsed,0
non compliant products amanah saham pahang berhad aspa enter wilmar supply chain suppliers,5
greenpeace two andalan sukses makmur asmr subsidiary bumitama bumi sawit sejahtera bss subsidiary ioi clearing forest peatlands bumitama supplier gar foe released similar greenpeace final countdown 9 18 greenpeace dying cookie,3
mighty earth rapid response 44 indications 113 ha deforestation kalimantan hamparan sawit dec 31 2023 apr 22 2024,1
nov 2016 ran published titled protecting leuser ecosystem shared responsibility highlighting clearance forests peatlands continued within existing concessions since governor aceh distributed circular letter june 17 2016 three months following circular letter july august september 2016 evidence continued deforestation found 12 concessions located within threatened lowland rainforests peatlands leuser ecosystem agra bumi niaga one 12,3
greenpeace 3rd alert bulletin felda global ventures fgv cleared natural forest peat taa violated malaysian labour law exploited workers greenpeace final countdown 9 18,4
borneo surya mining jaya begun clearing land carrying new planting procedure ii acquired cleared local peoples land free prior informedconsent p c 2 2 2 3 7 5 7 6 iii failed negotiate compensate local people expropriation land p c 7 6,0
deforestation case studies greenpeace final countdown,1
bidco uganda limited joint venture wilmar 48 stake,0
1 complainants conducted land expansion 167 hectares imbo putui customary forest 2 complainants respondents used operational truck passing customary forest disturbing noise dust pollution disturbing growth trees along road cutting animal paths bear deer pangolin snake monitor lizard monkey cutting water paths 3 complainants action planting riverbank even middle river changed waterway planted former river stockpiled 4 complainants taking responsibility social economic ecological damage occurred imbo putui customary forest petapahan village 5 complainants changed natural shape rivers made straight 6 complainants destroying downstream river ecosystem imbo putui customary forest fertilizers pesticides and7 complainants claimed imbo putui customary forest conservation area hcv,0
allegations 1 yet paid compensation 1099 ha land owned kelompok tani berkat harapan lampung tarung 2 yet paid compensation 110 ha owned kelompok masyarakat desa tangar sukarsih cs 3 yet given 20 plasma desa tangar,0
dec 2022 eia published worst deforesters 2022 supplying major international permata sawit mandiri sawit sukses sejati deforesters said gar supply chain thru gar suppliers e bumitama rimba mujur mahkota pasifik agro sikarakara mill link,3
allegations termination employment smart tbk kebun adi pati severance payment,4
mighty earth rapid response 2 carrying deforestation berau karetindo lestari rayatama jaya harapan rimba raya simpi indai bkl si gar suppliers mighty earth rapid response 6 committing deforestation linked gar supply chain rayatama jaya sumur pandanwangi mulia inti perkasa prasetya mitra muda krida dharma kahuripan,3
acquisition collingwood plantation pte ltd kuala lumpur kepong bhdis breach national laws papua new guinea land question property collingwood bay communities claiming customary ownership said land,0
mighty earth rapid response 39 thatbetween april 2021 march 2022 total approx 340 hectares forest indicative hcs cleared sawit sukses sejati concession anda total 390 hectares forest indicative hcs cleared usaha sawit unggul concession said beaffiliated teguhkarsa wanalestari,1
mighty earth rapid response 20 indications 2 ha deforestation makmur bersama asia concession 20 feb 30 aug,1
mighty earth rapid response 34 november may 2021 total 34 hectares forest cleared brahma binabakti concession,1
mighty earth rapid response 21 indications 79 ha deforestation feb 25 sep 6,1
orangutan found killed eaten concession susantri permai subsidiary genting plantation killing done plantation workers requested suspend membership susantri permai proper socialisation endangered species protection workers conducted,2
control union certification cuc conducted incomplete assessments produced biased assessment reports failed consider aspects certification system required certification standards processing certification united plantations subsidiary sinar sawit sejati central kalimantan,2
labour rights violation malaysian grower felda global ventures fgv plantations,4
gp deforestation case studies final countdown one involved deforestation,1
allegations forest clearance impact biodiversity leuser ecosystem,1
fpp complaint alleging breaches principles criteria gar including hcv fpic smallholder schemes indonesian law kartika prima cipta kpc west kalimantan,0
despite instructions president indonesia new governor aceh stop land clearing plantations despite active conflict local land rights april 2018 ran forest destruction inside concession managed laot bangko may 25 december 2017 total 13 hectares cleared inside concession clearing stopped several months resumed january 2018 four hectares cleared february 2018 fire hot spots recorded showing forests remain threat,3
extractora la gloria sas planting former hacienda bellacruz today hacienda la gloria occupies 9 000 hectares municipalities la gloria pelaya tamalameque southern cesar department following rules comply following principles principle 1 1 given provide clear sufficient information regarding business principle 2 1 business declared colombian authorities crops planted environmental management plan forest reserve goes national business environmental regulations principle 2 2 property ownership claims areas extractora la gloria grows majority crops called question national international judicial bodies farming communities demanded formalization customary land rights violently denied paramilitary groups principle 2 3 business operations recognized rights farmers displacement victims contravention businesses duty guarantee free prior informed consent regarding land use principle 4 4 installing processing crops extractora la gloria affected cao alonso forest reserve buffer zone singarar el carmen simaa streams principle 5 2 avoided damaging cao alonso forest reserve buffer zone specially protected habitat installing crops reserves environmental buffer zone principle 6 4 neglected claimants despite fact affected business activities refused create negotiation platforms principle 6 13 benefited grave human rights violations vulnerable farmers forcefully displaced illegal armed actors publicly rejected threats intimidations claimants even requested constitutional court lift cautionary measures protecting victims,0
stakeholders gar internal monitoring detected indications ofongoing deforestation wpp concession april 2021,1
termination employment severance related compensation written employment agreement daily casual workers national healthcare insurance bpjs kesehatan employee social security bpjs ketenagakerjaan daily casual workers bonus extra benefits allowance stipulated cba daily casual workers insufficient religious festive allowance daily casual workers ppe provided,4
glp yet fulfill commitment allocate plasma land,0
may june 2021 eyes forest eof published titled omnibus law automatic legalization illegal plantations eof investigation riau illegal plantations trade illegal fruit eof listed findings eof investigations involving 43 plantation management units located forest estates based ministerial decree number 903 menlhk setjen pla 2 12 2016 07 december 2016 forest estate riau province identified nine gar supplier namely tri bakti sarimas bukit payung mill gandaerah hendana inecda plantation peputra supra jaya ptpn v sekar bumi alam lestari surya agrolika reksa tasma puja indragiri hulu mill kampar mill tunggal perkasa plantation since publication conducted investigations engaged grievance handling case supplier lodged gar grievance tracker updated regularly order stakeholders follow progress,2
end 2021 gar internal monitoring detected indications deforestation inside anugerah langkat makmur concession according analysis around 56 ha potential forest cleared q4 2021 alone along lines march 2022 chainreaction research alm deforestation indicationsin titled chain deforestation driven falls four year low subsequently rapid response 39 may 2022 mighty earth revealed concession handed alm sss alm supplier gar sss,1
dispute regarding plasma cooperation local,0
eia greenpeace submitted letter board members representing financial institution drawing attention immediate risk clearance large areas primary forests papua pusaka agro lestari subsidiary noble plantation pte ltd letter hcv assessment conducted nyoto santoso bogor agricultural university npp submissionwas flawed stated primary forests proposed location despite mapping indonesian ministry forestry showing mainly primary forests primary swamp forests letter added eia greenpeace aidenvironment yayasan iar indonesia submitted joint complaint hcvrnabout nyoto santoso,2
lack adequate health safety equipmentlabourer died due lack safety equipmentno festive holidays temporary workers,4
worked agro indomas indonesia since 1999 mid june 2002 new management agro indomas dismissed 1200 workers transferred families back jaya kalimantan manager objected move requested 2 weeks address root cause employees strike management told employment subsequently terminated 3 4 months later filed wrongful dismissal case supreme court indonesia found favour awarding payment compensation usd645 590 travel claim usd4906 60 december 2005 since goodhope failed implement court order failed numerous attempts award executed courts indonesia,4
allegations made pertaining rights workers working conditions safety concerns,4
mighty earth indications 18 ha deforestation ptpn 2 kebun prafi concession papua 15 mar 6 may,1
mighty earth rapid response 17 indications deforestation total area 4 ha concession prima sawit andalan sintang west kalimantan,1
june 15th 2021 forest peoples programme pusaka tuk indonesia walhi published titled demanding accountability listing case studies human rights abuses involving 10 operating indonesia,0
herakles farms sgsocis developing 70 000 hectare plantation mill cameroon earmarked area plantation claimed located biodiversity hotspot covered species rich canopy forest area surrounded nationally protected forest complainants alleging clearing areas disrupt ecological landscape migration routes protected species subspecies result loss water resources subsistence farming lands local communities complainants hcv assessment done incomplete flawed,0
according reuters migrant rights activist andy hall told reuters petitioned cbp concerns forced labour indications ioi operations workers hall confirmed cbp responded may letter saying reviewed petition found sufficient open investigation reuters seen letter cbp hall concerns relate payment deposits workers reimbursement workers recruitment fees need ethical low cost recruitment process foreign workers hall said subsequently another organization finnwatch published ioi entitled,4
mekar bumi andalas currently contact member complainants initial discussions parties coordinated held reviewed materials submitted complainants seeking verification organization public update provided soon formal response received member organization,0
mighty earth rapid response 1 4 carried deforestation bintuni agro prima perkasa guntur madu agrotama kahayan agro plantation mustika agung sentosa according kap likely supplies ffb tantahan panduhup asia owned sumber tani agung stais gar ssupplier mighty earth rapid response 17 indications deforestation tantahan panduhup asi concession central kalimantan total area 70 ha 7 ha clearance preparation stacking lines mar 20 june 29,3
may june 2021 eyes forest eof published titled omnibus law automatic legalization illegal plantations eof investigation riau illegal plantations trade illegal fruit eof listed findings eof investigations involving 43 plantation management units located forest estates based ministerial decree number 903 menlhk setjen pla 2 12 2016 07 december 2016 forest estate riau province identified nine gar supplier namely tri bakti sarimas bukit payung mill gandaerah hendana inecda plantation peputra supra jaya ptpn v sekar bumi alam lestari surya agrolika reksa tasma puja indragiri hulu mill kampar mill tunggal perkasa plantation since publication conducted investigations engaged grievance handling case supplier lodged gar grievance tracker updated regularly order stakeholders follow progress,2
paid salary director commissioner since 2010 basis allegations potential breaches p c,4
unilateral pay cut poor living conditions labourers intimidation workers forced labour lack transparent grievance system,4
internal monitoring found sae west kalimantan carrying peat forest clearance gar buy sae buys another subsidiary saraswanti issue highlighted online media,3
aby rainforest action network ran calls ten largest corporate groups involved forest risk commodities timber pulp paper failing adequate policies procedures place ensure indigenous local rights respected process agricultural development evaluates published policies standard operating procedures best practices fulfillment fpic rights finds policy commitments ten major players agribusiness sector ldquo nothing empty promises rdquo,2
non compliant products yp plantation holdings sdn bhd ypph enter wilmar supply chain suppliers,5
land fires occurred august conservation area within respondent’s hgu covering area approximately 12 hectares blocked river flow within hgu using heavy equipment hence damaging rivers altering function numerous owned plantations public cemeteries within respondent’s hgu area yet enclaved planted peatland within hgu area planted river course areas sungai bengkarai sungai air hitam sungai napoh sungai peragaian sungai merbabu sungai batang merah although signage indicating considered conservation areas failed respond grievances suggestion,2
allegations forest clearing supplier austindo nusantara jaya agri anj sorong west papua indonesia media related fire haze involving gar supplier kayung agro lestari kal 10 6 2015 titled deadly trade greenpeace ioi continued buy third party suppliers linked environmental destruction exploitation austindo nusantara jaya eagle high plantation rajawali goodhope carson cumberbatch korindo indofood tabung haji plantations mighty earth rapid response 6 carrying deforestation permata putra mandiri berau karetindo lestari pipit citra persada subur karunia bld plantation bhd rayatama jaya condong garut sumur pandan wangi mulia inti perkasa prasetya mitra muda linked gar suppply chain sumur pandanwangi mulia inti perkasa prasetya mitra muda krida dharma kahuripan mentinoned greenpeace final countdown 9 18,2
mighty earth rapid response 23 indications 16 ha deforestation sanjung makmur bulungan october 15 november 14 indications 44 ha deforestation sanjung makmur tana tidung november 15 decemebr 6,1
labour right issues uganda limited venture wilmar international limited indirectly bidco uganda limited 48 stake,4
mighty earth rrr 37 satellite imagery see shows may sept 2021 total 8 5 hectares forest hcs cleared kencana alam permai concession,1
following initial diagnosis process allegations accepted complaint follows 1 commenced process request water concession corpamag autonomous corporation magdalena asked technical reports facilitate aforementioned request however filed request directly corpamag sending 2 followed request technical complete 2nd step corpamag insisted sending technical directly corpamag refused due lack trust upon receiving reviewing intentionally omitted draw water canal favors neighboring crop 3 disagreements plantation boundaries complainants ex husbands plantation land dispute alerted issue receive response take action resolve land dispute even informed 4 harassed intimidated sought explanation resolution,0
yet fulfill commitment allocate plasma land,0
may june 2021 eyes forest eof published titled omnibus law automatic legalization illegal plantations eof investigation riau illegal plantations trade illegal fruit eof listed findings eof investigations involving 43 plantation management units located forest estates based ministerial decree number 903 menlhk setjen pla 2 12 2016 07 december 2016 forest estate riau province identified nine gar supplier namely tri bakti sarimas bukit payung mill gandaerah hendana inecda plantation peputra supra jaya ptpn v sekar bumi alam lestari surya agrolika reksa tasma puja indragiri hulu mill kampar mill tunggal perkasa plantation since publication conducted investigations engaged grievance handling case supplier lodged gar grievance tracker updated regularly order stakeholders follow progress,2
ngos asked artha prigel subsidiary bukit barisan indah prima legally responsible violent action 22 3 resulted deaths two farmers pagar batu village pulau pinang sub district lahat regency south sumatra another two injured land conflict lahat farmers ap reportedly ongoing since 1993 operation arta prigel several villages especially village talang sawah talang sejemput based official legal permits however hgu proposal filed 2003 issued bpn lahat 2006,0
since 2016 rainforest action network ran series deforestation allegations tualang raya estate aceh timur gar source tr,3
corporate social responsibility csr program concrete sustainable surrounding conducted replanting cutting trees plantation resulting emergence insect pests damaging coconut plantation provided pesticides twice take responsibility coconut plantation damage andthe pesticide proposal village head urgently responded caused surrounding suffer great losses,2
prosecution union workers order lay weaken union infringement constitutional rights affecting right union association dismissals labour contracts fair cause,4
synopsis gar subsidiary kartika prima cipta kpc acquired land local dayak malay communities free prior informed consent kpc done hcv study prior developing land gar taking lands first land tenure studies participatory mapping providing adequate information communities implications land surrenders kpc going setting aside land hcv areas resulted reduction land holding communities eighteen gar subsidiaries operating appropriate hak guna usaha breach legal requirements operate plantation indonesia points raised 1 kpc persistent violation p c pertaining hcv assessment recognition customary land right free prior informed consent fpic lack fpic local dayak malay people process acquiring land 2 land take done land tenure study participatory mapping 3 lhcv assessments done late final consultation may 2014 4 dissatisfaction among smallholders resentment reduced plot size set aside hcv rather included plasma scheme 20 5 set aside land hcs area made provision customary land uses tenure local people livelihood 6 gar parent 18 subsidiaries listed acting violation new planting procedure npp submitting information knows false hgu sixteen 16 eighteen 18 concessions npp submitted 7 assessors endorsed gar’s hcv assessment esias social engagement actions violation responsibility provide impartial assessment compliance principles criteria remarks criteria gar requested withdraw new planting procedure npp submission secretariat decided shall remain website pending resolution complaint,0
gar holding used membership rules make two smart ivo mas tunggal members green washed create impression gar committed sustainability membership gar claims aim obtain certification existing operating units 2015 claimed gar holding smart plan become member claims supported evidence held,2
deadly trade greenpeace said ioi continued buy third party suppliers linked environmental destruction exploitation austindo nusantara jaya eagle high plantation rajawali goodhope carson cumberbatch korindo indofood tabung haji plantations,3
unauthorised regulation flat rate overtime premium copy collective bargaining agreement furnished workers workers working night shift provided extra food inadequate unsanitary worker’s housing daily casual workers provided written employment agreement daily casual workers provided employment security bpjs ketenagakerjaan card complicated healthcare insurance bpjs kesehatan paid sick day processes unfair dismissal termination unjustified reason participating union activities limitation worker’s right organize outside established independent non affiliated trade union,4
sms worker head sbpks gsbi labour union dismissed signed open letter european union president indonesia claiming involved environmental damage land grab,4
rapid response 12 mighty earth series peat forest development since july 2018 pinang witmas abadi west kalimantan owned managed pundi lahan khatulistiwa gar supplier online media,1
complaint lodged result comments given respondents npp consultation resolved allegations withheld two important documents made available stakeholders principle transparency documents original draft 2011 hcv assessment respondents legal review commissioned secretariat,0
mighty earth rapid response 4 carrying deforestation bld plantation bhd permata putera mandiri blok licensed plant forests lpf 0039 zedtee sb agriprima cipta persada condong garut gar longer sourced however gar sourcing ja wattie manages condong garut mighty earth rapid response 6 committing deforestation linked gar supply chain rayatama jaya sumur pandanwangi mulia inti perkasa prasetya mitra muda krida dharma kahuripan gar longer sourced condong garut however gar sourcing ja wattie manages condong garut,3
terminated workers violation indonesian employment law,4
local media ketapang district police investigating 4 suspected burning clear land including cipta usaha sejati,2
deforestation rendi permata raya linked suppliers mitra bumi sumber alam makmur,3
complaint damaged road sumber indah perkasa sip,0
rapid response 23 mighty earth indications 129 deforestations asmr concession sep 4 dec 24,1
allegations deforestation caused floods sima village irregularities including development environmental impact assessment land grabbing destroying sacred place dusun sagu indigenous people yerisiam failure following proper fpic process excessive use force violence using state security forces,0
allegations revolve around land issues evicted agricultural land elements intimidation local authorities process resolving disagreements aforementioned land dispute destroyed irrigation built government,0
synopsis communities sanggau mitra austral sejahtera operating lack transparency land status partnership agreements lack compliance customary land rights absence documented compensation lack compliance local regulations acting breached principles criteria specifically principle 1 transparency principle 2 compliance applicable laws principle 6 responsible consideration employees individuals communities affected growers mills,0
eof issued alleging number sourced ffb tesso nilo national park bukit tigapuluh national park bukit betabuh tiger corridor,5
cultivated planted land first obtaining consent rightful owner hence causing material non material loss,0
mighty earth rapid response 18 12 ha peat developed mjsp concession march 27 july 28 mjsp gar supplier gar sources klk level,1
named practising open burning resulting haze peninsular malaysia singapore reached hazardous levels countries acted breach principle 5 environmental responsibility conservation natural resources biodiversity potentially breach principle 7 responsible new planting criterion 5 1 aspects plantation mill management including replanting environmental impacts identified plans mitigate negative impacts promote positive ones made implemented monitored demonstrate continual improvement criterion 5 5 use fire waste disposal preparing land replanting avoided except specific situations identified asean guidelines regional best practice criterion 7 7 use fire preparation new plantings specific situations identified asean guidelines regional best practice complaint filed executive board view fact members named media source fires hotspots analysis conducted two external experts show hotspots analysis jatim jaya perkasa available august 2013 verification submitted based total concession area 11 801 ha 8 200 within hgu 3 601 ha within plasma area actual burning found 22 74 hotspot locations actions taken include 1 intensify fire patrolling hourly hotspot monitoring must submitted central monitoring post 2 revise sops emergency fire procedure land forest fire prevention patrol land forest land preparation water management 3 improve water management according bmps existing cultivation peat4 organize firefighting fire prevention campaign local 5 engage local fire patrolling dry season6 establish database high risk hotspots area draft action plan submitted october 2013 jatim jaya perkasa completed following corrective actions 1 one firefighting team formed 35 members 18 units water pump robin 6 units high pressure water pump tohatsu 4 units motorcycle 1 unit wheel drive vehicle 2 recent hotspot monitoring jatim jaya perkasa downloaded eye haze one hotspot identified march 7 none found field verification 3 jjp implemented water management fire preventionsystem,2
member replaced many products promoting free products initiated aggressive campaigns aimed denigrating general mainly environmental perspective blaming deforestation threateningendangered species fuelling negative perception use among consumers referring general way making distinction betweensustainable promoted non sustainable failure promote use sustainable makes fall back solution failure acknowledge benefits sustainable environmentalperspective finally willing resolve matter despite direct contacts madeby ferrero complaint made ground systeme u undermining objectives enshrined vision mission breaching code conduct,2
mighty earth rapid response 26 indications 140 ha deforestation 247 ha clearance preparation tanjung buyu perkasa concession sep 15 feb 7,1
tpols stated transnational labour solidarity tpols received reports violations basic labour rights plantations based reports union members found number similarities employment practices violate human rights standards among transnational corporations practice contradicts called sustainability policies claimed mdash members one estate kutai agro lestari ct agro mongabay,4
deadly trade greenpeace said ioi continued buy third party suppliers linked environmental destruction exploitation including arrtu energie resources eagle high plantation rajawali ehp supplier gar nov greenpeace aer burning house dec mighty earth rapid response 22 indications 109 ha deforestation inside arrtu energie resources concession jul 14 nov 13,3
october ran field investigation team documented lowland rainforests illegally logged lands cleared make way plantations drone footage images show scale destruction continues unabated despite forests critical habitat areas sumatran orangutans elephants tigers vital water catchment areas local communities since beginning nia yulided ny reduced standing forests 1 624 1 411 hectares total 213 hectares forest loss small area month august alone 85 hectares forests destroyed,3
ran harita failed respect rights long isun say ldquo rdquo two proposed logging operations customary lands mahakam ulu district east kalimantan indonesia according ran harita controlling shares called bumitama agri limited timber called roda mas bumitama supplier gar,2
breached obligations ignoring high conservation values hcvs identified new planting procedure npp 2013 clearing land protected area plant crops situation affected forest conservation area protected according costa rican law deforested area deforestation took place abandoned damage remedied andthe said act deforestation violates sustainability principles significant negative impact local biodiversity communities depend ecosystem,0
rspos code conduct members members expected propose time bound plan bring mills plantations conformity standard subject operations independent third party verification operations certified compliant 2012 genting plantations announced intention bring operations full compliance standard 2025 see website time bound plan suggests tactics delay rather real commitment implementing standard contend genting plantations subsidiary tanjung bahagia sdn bhd multiple violation rspos principles criteria failing address communitys concerns land acquisition pollution conservation hcv areas open transparent communication consultation dispute resolution mechanism resolve issues complained update case found dsf written member complaint answer received 26 august 2013 currently waiting response,2
acquired land develop ghana destroyed farmers rubber plantation willing pay damages caused rubber farmers still cutting rubber farms plant remaining uncultivated lands taken respondents project shown interest resolving issues despite several complaints made complainants,0
mighty earth rapid response indication total 117 ha forest prepared clearance preparation stacking lines inside bssu concession june 12 aug 4,1
tpols stated transnational labour solidarity tpols received reports violations basic labour rights plantations based reports union members found number similarities employment practices violate human rights standards among transnational corporations practice contradicts called sustainability policies claimed mdash members two estate jaya mandiri sukses suryabumi tunggal perkasa eagle high plantation later mongabay issue,4
gar internal monitoring detected indications 8 ha deforestation perintis sawit andalan concession 16 31 mar psa owned managed andika permata sawit lestari,3
peatland violations clearance tunas baru lampung tbl,1
cleared hcv forest planted tanjung puting national park violations indonesian national laws planted coastal reserves riparian land prohibited indonesian laws acknowledged complaint despite fact andalas sukses makmur member pledged address issues raised complaint 20 september replied saying bilateral talks parties concerned resolve issues,0
member 1 initiated campaign aimed denigrating general well asproducts containing tag line campaign l huile depalme c est nul translated rubbish 2 fuelling negative perception france parts world 3 launched number free products brand andpromotes denigrating statements general wellas disparaging comparisons competing products containing including ferrero groups nutella 4 refers general way making distinction betweensustainable promoted non sustainable 5 fails promote use sustainable 6 hasnt willing resolve matter despite direct contacts made ferrerogroup,2
minimum wage wage withholding deduction occupational hazard unsafe working conditions exposure chemicals,4
1 land acquired planted agropama obtained fraudulent means 2 last july iterpa local autarchy jurisdiction state par officially informed almost landoccupiedby agropalma fact owed sate par land title registered name information directed court acar small city state par complainants agropalma dispute land rights iterpa informed agropalma settled complainants land state federal land 3 agropalma legally owna single hectare claim certification granted,0
land rights labour rights violations environmental pollution putra lirik domas subsidiary kpn corporation,4
construction canal prepare deep forested peatland clearance sumatra jaya agro lestari sjal subsidiary gunas west kalimantan,1
mighty earth rapid response 6 committing deforestation linked gar supply chain rayatama jaya sumur pandanwangi mulia inti perkasa prasetya mitra muda krida dharma kahuripan,3
allegation 1 violation code conduct range fundamental grievous ways involvement control ownership operational development four plantation papua 2 megakarya jaya raya controlled hsa cleared estimated 4 000 ha forest plantations papua 3 members based malaysia indonesia complaint involves involvement four plantation papua megakarya jaya raya mjr fofi jair districts boven digoel papua indonesia kartika cipta pratama kcp fofi jair districts boven digoel papua indonesia energi samudera kencana esk mandobo fofi jair districts boven digoel papua indonesia graha kencana mulia gkm fofi jair districts boven digoel papua indonesia,2
clearance potential high carbon stock hcs forest peat orangutan habitat genting potential forest clearance impacts biodiversity,1
mighty earth rapid response indication deforestation bpj total 10 ha 17 jan 4 aug,1
allegations member developing plantation proper npp process developing plantation informing local communities failed comply national law forest conversion mistreatment employees including arbitrary dismissal new plantings established eia hcv assessment,2
deforestation gerbang benua raya linked supplier abdi budi mulia abm,3
one aceites mills purchasing ffb operation run mrs alva yiseth villamizar navas maria la baja area since may 2016 alva navas collecting ffb growers accepted offer paying market price invoices offered harvest fruit made several trucks available transport ffb field collection site buys fruits anyone regardless ownership due people started stealing fruit area purchases fruit regardless origin collecting fruit type sanitary control staff hired outside rules laid ministry labor vehicles collect fruit night time restrictions apply mobility imposed city hall ffb transferred mills located department magdalena belonging aceites palma aceite,2
decrease number workers union due actions preventing union conducting activity wrongful dismissal termination employment bad working conditions supply work equipment tools,4
ran indo alam cleared least 244 hectares critical lowland forests within protected leuser ecosystem since government indonesia announced moratorium prohibiting clearing forests ran stated june field investigators uncovered evidence showing indo alam continued sell fruit nearby mills mdash time mill called teupin lada published supplier lists show gar issourcing teupin lada,2
crr julong subsidiary rezeki kencana rk one plantation received permit inside protected area indonesia plantation kubu raya district west kalimantan operating since 2010 overlaps protected sungai arus deras forest,2
may june 2021 eyes forest eof published titled omnibus law automatic legalization illegal plantations eof investigation riau illegal plantations trade illegal fruit eof listed findings eof investigations involving 43 plantation management units located forest estates based ministerial decree number 903 menlhk setjen pla 2 12 2016 07 december 2016 forest estate riau province identified nine gar supplier namely tri bakti sarimas bukit payung mill gandaerah hendana inecda plantation peputra supra jaya ptpn v sekar bumi alam lestari surya agrolika reksa tasma puja indragiri hulu mill kampar mill tunggal perkasa plantation since publication conducted investigations engaged grievance handling case supplier lodged gar grievance tracker updated regularly order stakeholders follow progress,2
supply cpo ffb unsustainable sources supplies ffb cpo kapuasindo industri subsidiary kencana non member series conflicts local violations standards,5
june ran field investigators found significant fresh land clearing new roads pushed lowland rainforests putra kurnia already planted cleared lands new plantations total concession area controlled putra kurnia 5107ha reduced standing forests 437 hectares 374 hectares since beginning year satellite imagery shows forest clearance throughout april may,3
synopsis family member employee injured commotion plantation ensuing medical condition injury rendered unable work complaint made enable enlist help securing insuring benefits injuries remarks acknowledged complaint engaged bilateral negotiations amicable solution reached assisted securing necessary insurance benefits,0
allegations lack transparency plasma scheme locations tapang tingang village dan kiungkang village sanggau west kalimantan,0
