Text,Dominant_Topic
land rights labour rights violations environmental pollution putra lirik domas subsidiary kpn corporation,4
mighty earth rrr 37 satellite imagery see shows may sept 2021 total 8 5 hectares forest hcs cleared kencana alam permai concession,1
grievances related land agreements smallholder schemes reduction environmental values social conflicts pts amnl bnm cng kgp,0
media article gar supplier bahari gembira ria bgr high incidents fires based global forest watch info,2
summary allegations follows 1 committed discriminatory acts againts labour union members including termination employment witholding bonuses workers associated labour union 2 failed provide pay slips workers 3 forced workers work holidays instances pay 4 discriminated female workers layoffs compensation took place april 2018 female workers age 35 and5 exploits female workers unilaterally increased workloads additional pay,4
public case released september 2018,5
clearance potential high carbon stock hcs forest mopoli raya leuser ecosystem,1
mighty earth indications 18 ha deforestation ptpn 2 kebun prafi concession papua 15 mar 6 may,1
lack adequate health safety equipmentlabourer died due lack safety equipmentno festive holidays temporary workers,4
eia greenpeace submitted letter board members representing financial institution drawing attention immediate risk clearance large areas primary forests papua pusaka agro lestari subsidiary noble plantation pte ltd letter hcv assessment conducted nyoto santoso bogor agricultural university npp submissionwas flawed stated primary forests proposed location despite mapping indonesian ministry forestry showing mainly primary forests primary swamp forests letter added eia greenpeace aidenvironment yayasan iar indonesia submitted joint complaint hcvrnabout nyoto santoso,2
allegations land clearing outside hgu operated communitys land compensation 6 505 42 ha operated appropriate permit,0
violates standard potentially indonesian law key violation consultation communities take place described npp documents affected communities participate hcv assessment seia hcv assessment technically flawed fpic process place amdal process carried accordance law sml yet obtained permits prerequisite land clearing,0
website incident resulted burning excavator,3
mighty earth rapid response 18 9 ha deforestation occurred asj concession may 15 july 10 asj gar direct supplier gar sources parent e golden plantation,1
cleared hcv forest planted tanjung puting national park violations indonesian national laws planted coastal reserves riparian land prohibited indonesian laws acknowledged complaint despite fact andalas sukses makmur member pledged address issues raised complaint 20 september replied saying bilateral talks parties concerned resolve issues,0
brought forward issue fraudulent land title claimed land fraudulently sold cousin agro muara rupit subsidiary sipef,0
allegations termination employment smart tbk kebun adi pati severance payment,4
allegation commenced planting activities proper consent local asam besar west kalimantan,0
daily casual workers paid minimum wage set musi rawas district government daily casual workers protected remedy available work accidents daily casual workers equipped personal protection equipment ppe equipped working tools daily casual workers receive festive allowance accordance regulation daily casual workers hired third party get pay slip amount written payment receipt formal stamp name party rendered payment,4
one aceites mills purchasing ffb operation run mrs alva yiseth villamizar navas maria la baja area since may 2016 alva navas collecting ffb growers accepted offer paying market price invoices offered harvest fruit made several trucks available transport ffb field collection site buys fruits anyone regardless ownership due people started stealing fruit area purchases fruit regardless origin collecting fruit type sanitary control staff hired outside rules laid ministry labor vehicles collect fruit night time restrictions apply mobility imposed city hall ffb transferred mills located department magdalena belonging aceites palma aceite,2
deforestation value greenworld sdn bhd subsidiary bunga,3
conducted land clearing planting construction concession boundary road beyond boundaries set plantation business license izin usaha perkebunan iup right cultivate land title hak guna usaha hgu,0
yet paid compensation 78 ha land owned villagers,0
golden veroleum liberia provided public notification 30 day consistent new planting procedures ii commenced land preparation new planting infrastructure developmentprior expiry minimum 30 day iii conducted comprehensive participatory independent social environmental impact assessment area concerned incorporate results relevant action plans see criteria 5 1 6 1 7 1 7 4 including identification primary forest b area required maintain c enhance one high conservation values hcvs local peoples land iv clearing land free prior informed consent customary land owners represented representative organizations choice p c 2 2 2 3 7 5 7 6 complaints panel panel reviewed evidence preliminary findings panel issue related butaw refer cp decision september 2015 closed monitoring status,0
ran oppuk ilrf published human cost conflict alleging indofood pp lonsum involved labour exploitation issues deadly trade greenpeace ioi continued buy third party suppliers linked environmental destruction exploitation austindo nusantara jaya eagle high plantation rajawali goodhope carson cumberbatch korindo indofood tabung haji plantations ran published sustainability assessment salim related borneo peat forests alleging drm skl carried peat clearance ketungau forest greenpeace final countdown 9 18,2
shadow clearing lands,1
prosecution union workers order lay weaken union infringement constitutional rights affecting right union association dismissals labour contracts fair cause,4
mighty earth rapid response 26 indications 140 ha deforestation 247 ha clearance preparation tanjung buyu perkasa concession sep 15 feb 7,1
allegations peat clearance social conflict setia agrindo lestari sal partly owned first resources greenpeace final countdown 9 18,2
labour rights violation dewa rencana perangin angin’s drpa operation,4
mighty earth rapid response 39 thatbetween april 2021 march 2022 total approx 340 hectares forest indicative hcs cleared sawit sukses sejati concession anda total 390 hectares forest indicative hcs cleared usaha sawit unggul concession said beaffiliated teguhkarsa wanalestari,1
complaint made sabah mills including mills owned member host plantations mills operating sabah complaint aimed extensive use calcium carbonate plantations alkalinisation acidic soil process splitting kernels extract seed calcium carbonate sourced sea demanded plantation process obtaining calcium carbonate triggered destruction corals turn results environmental degradation sea beds coast sabah,0
allegations developing plantation peat area 3 metres depth wirata daya bangun persada ii clearing land cutting trees kaliau mas iii kaliau mas perkasa area cleared burning fire,1
human rights violation dinant,4
rapid response 32 mighty earth 267 ha deforestation agro mutiara rupit sipef mighty earth stated appears sipef proceeded development agro muara rupit hcv hcsa assessment completed mighty earth stated according hcsa website assessments completed agro muara rupit amp ii iii amp iv estates listed either peer reviewed completed peer review process hence appears sipef gone ahead new land development agro muara rupit submitting review waiting final hcv hcs areas determined,1
operating area luak talang parit obtaining prior consent b develop plasma plantations c internal grievance mechanism stakeholders access,2
eof issued alleging number sourced ffb tesso nilo national park bukit tigapuluh national park bukit betabuh tiger corridor,5
mighty earth rapid response 23 indications 16 ha deforestation sanjung makmur bulungan october 15 november 14 indications 44 ha deforestation sanjung makmur tana tidung november 15 decemebr 6,1
2016 ran published titled dua perkasa lestari destroying orangutan capital world highlighting continued land clearing activities dpl despite forest moratorium issued president indonesia april 2016 letter issued governor aceh 522 12 2686 iii dated 17 june 2016 aug ran raised allegation social confilct,3
amongst allegations fact identified follows forced members give rights land developed plantation thepromises made fulfilled around 2015 carried replanting deep peat areas area 4 000 ha coordination sungai enau village government head farmers respond communitys dispute despite communitys request meet resolve issues raised continues source produce land involving police police sent forced ordered workers continue harvesting argument police one police officers kicked individual recording video situation absent socialisation meeting relevant stakeholder officials despite invited sungai enau village government,0
mighty earth rapid response 21 indications 79 ha deforestation feb 25 sep 6,1
clearance potential high carbon stock hcs forest peatlands orangutan habitat sawit sumbermas sarana sss,1
conflict land issue asiatic persada indigenous local communities response wilmar provided verification tuv rheinland september november fpp sawit watch huma conducted site visit issued international finance corporation compliance advisor ombudsman ifc cao invited provide service mediate case kick meeting ifc cao attendance parties well representative provincial government took place early dec cao team conducted preliminary visit site currently awaiting update ifc cao,0
despite member promoting free products via labeling packaging tv commercials ferrero stated 1 evidence provided ferrero ignored 2 casino promoting sans palmhuille products promote sustainable promoting products required code conduct 3 casino denigrates general offering environmental nutritional perspective makes effort differentiate conventional sustainable effects denigrates general affecting use sustainable promoting products done nothing promote products 4 decision based premise thatan rspomember choose whether commit code conduct depends whether involves food product non food product supported rules 5 casinos advertisement clearly says casino goes fundamental raison detre rspos existence taken whole decision espo contradicts code conduct members 6 final decision contradicts preliminary decision,2
allegations planting along banks lake marsedan kartika prima cipta kpc west kalimantan,2
bidco uganda limited joint venture wilmar 48 stake,0
unauthorised regulation flat rate overtime premium copy collective bargaining agreement furnished workers workers working night shift provided extra food inadequate unsanitary worker’s housing daily casual workers provided written employment agreement daily casual workers provided employment security bpjs ketenagakerjaan card complicated healthcare insurance bpjs kesehatan paid sick day processes unfair dismissal termination unjustified reason participating union activities limitation worker’s right organize outside established independent non affiliated trade union,4
dec 2022 eia published worst deforesters 2022 supplying major international permata sawit mandiri sawit sukses sejati deforesters said gar supply chain thru gar suppliers e bumitama rimba mujur mahkota pasifik agro sikarakara mill link,3
gp deforestation case studies final countdown one involved deforestation,1
allegation presco plc nigeria consent compensation invaded farmland destroyed crops properties thereby depriving main source livelihood legal actions court injunctions ignored presco plc,0
involvement labour right issues sarana prima multi niaga spmn subsidiary tsh,4
anugerah energitama ae concerning orangutans trapped concession gar internal monitoring detected potential hcs forest clerance global primatama mandiri nusantara agro sentosa east kalimantan since march 2016 gpm nas managed palma serasih,3
gar found indication deforestation internal monitoring process flora nusa perdana part sumber tani agug sta central kalimantan,3
socfin indonesia used land apporoximately 900 meters many years water pipe line bilah river use mill workers houses consent local,2
8 december 2022 ran published titled notorious rainforest destroyer caught taking global market supply chains major brands found tainted conflict ran ffb nia yulided bersaudara carrying deforestation entered bumi sama ganda supply chain ud makmur jaya,3
allegations formally accepted complaint follows 1 control influence activities ibzi holdings sdn bhd subsidiaries ibzi plantation sdn bhd aa sawit sdn bhd disclosed 2 disclosed total landbank controlled 3 mados holdings sdn bhd conducted land clearing prior hcv assessment approved assessor 4 potential racp liabilities currently extend non compliant land clearing hcvs hcs conducted related entities land clearing within related entities concessions conducted prior hcv assessment approved assessor and5 stated primary beneficial owner madoss holdings sdn bhd sultan state malaysia using third party proxy nadi mesra sdn bhd develop plantations hcv assessments conducted prior land clearing,0
allegations revolve around land issues evicted agricultural land elements intimidation local authorities process resolving disagreements aforementioned land dispute destroyed irrigation built government,0
mighty earth rapid response 17 indications deforestation total area 4 ha concession prima sawit andalan sintang west kalimantan,1
public case released september 2018,5
mighty earth rapid response 22 indications 106 ha deforestation inside fajar saudara lestari concession sep 7 nov 13,1
allegation 2 daily workers died due accident happened 23 february 2018 victim rights consist death insurance work accident insurance paid bilah plantido breach p c code 1 2 4 6,4
deadly trade greenpeace said ioi continued buy third party suppliers linked environmental destruction exploitation austindo nusantara jaya eagle high plantation rajawali goodhope carson cumberbatch korindo indofood tabung haji plantations,3
ran published leuser watch last leuser lowlands field investigation exposes big brands buying illegal singkil bengkung peatlands two gar supplier mills namely global sawit semesta gss samudera sawit nabati ssn processing fruit illegal plantation developed peatlands inside leuser ecosystem national protected rawa singkil wildlife reserve,3
synopsis family member employee injured commotion plantation ensuing medical condition injury rendered unable work complaint made enable enlist help securing insuring benefits injuries remarks acknowledged complaint engaged bilateral negotiations amicable solution reached assisted securing necessary insurance benefits,0
may june 2021 eyes forest eof published titled omnibus law automatic legalization illegal plantations eof investigation riau illegal plantations trade illegal fruit eof listed findings eof investigations involving 43 plantation management units located forest estates based ministerial decree number 903 menlhk setjen pla 2 12 2016 07 december 2016 forest estate riau province identified nine gar supplier namely tri bakti sarimas bukit payung mill gandaerah hendana inecda plantation peputra supra jaya ptpn v sekar bumi alam lestari surya agrolika reksa tasma puja indragiri hulu mill kampar mill tunggal perkasa plantation since publication conducted investigations engaged grievance handling case supplier lodged gar grievance tracker updated regularly order stakeholders follow progress,2
gar holding used membership rules make two smart ivo mas tunggal members green washed create impression gar committed sustainability membership gar claims aim obtain certification existing operating units 2015 claimed gar holding smart plan become member claims supported evidence held,2
deforestation perkebunan nusantara 1 ptpn 1 tualang sawit subsidiary ptpn 1,3
non compliant products amanah saham pahang berhad aspa enter wilmar supply chain suppliers,5
late sep 2022 crr published titled top ten deforesters clear 8 100 hectares concessions 1h 2022 significant increase versus 2021 sawit rokan semesta cleared 600 ha forest first half 2022 riau sumatra according crr srs owned widjaja family north sumatra family associated sewangi,1
mighty earth rapid response indication deforestation bpj total 10 ha 17 jan 4 aug,1
ivo mas tunggal accused various environmental labour issues kompas riau media,0
claiming hap seng plantations bhd illegally occupying property river estates 6 454acres lahad datu sabah says beneficial owner said land land office kota kinabalu confirmed said land still name beneficial owner filed civil suit hap seng originating summons bki 24 127 5 2012 filed 30 07 2015 case processed kota kinabalu high court system secretariat monitoring progress case,0
chain reaction research fire damage gar concessions agro lestari mandiri amnl west kalimantan,3
30 aug mighty earth rapid response 30 thatbetween february 11 may 20 total 101 hectares forest cleared pkpp plantation sdn bhd concession october 26 2027 october total 78 hectares forest cleared ypj plantations sdn bhd ladang ssi sg ara concession rapid response 31 published november mighty earth continued deforestations indications involving pknp,1
local media ketapang district police investigating 4 suspected burning clear land including cipta usaha sejati,2
mighty earth rapid response 1 4 carried deforestation bintuni agro prima perkasa guntur madu agrotama kahayan agro plantation mustika agung sentosa according kap likely supplies ffb tantahan panduhup asia owned sumber tani agung stais gar ssupplier mighty earth rapid response 17 indications deforestation tantahan panduhup asi concession central kalimantan total area 70 ha 7 ha clearance preparation stacking lines mar 20 june 29,3
mighty earth rapid response 14 april total forest area 33 ha cleared total area 99 ha prepared clearance arjuna utama sawit concession central kalimantan deforestation allegations two namely khatulistiwa agro abadi borneo international anugerah said linked aus rapid response 40 july 2022,1
susantripermai kapuas maju jaya dwiewarna karyaareillegally operating plantingpalmin area productive forest three break indonesian law specifically uu 41 tahun 1999 uu 18 tahun 2013 uu 39 tahun 2014 3 obtained forest land swap area forest area release permit business permit hgu,2
ivo mas tunggal imt operating land compensation,0
control union certification cuc conducted incomplete assessments produced biased assessment reports failed consider aspects certification system required certification standards processing certification united plantations subsidiary sinar sawit sejati central kalimantan,2
minimum wage wage withholding deduction occupational hazard unsafe working conditions exposure chemicals,4
respondents development allocation plasma plantations accordance agreement mou kelinjau ulu village,2
unilateral pay cut poor living conditions labourers intimidation workers forced labour lack transparent grievance system,4
nov 2016 ran published titled protecting leuser ecosystem shared responsibility highlighting clearance forests peatlands continued within existing concessions since governor aceh distributed circular letter june 17 2016 three months following circular letter july august september 2016 evidence continued deforestation found 12 concessions located within threatened lowland rainforests peatlands leuser ecosystem agra bumi niaga one 12,3
sourcing non compliant ffb aspirasi kristal sdn bhd,5
deforestation rendi permata raya linked suppliers mitra bumi sumber alam makmur,3
rapid response 23 mighty earth indications 42 ha deforestation hhk concession aug 6 dec 24,1
rapid response 23 mighty earth indications 129 deforestations asmr concession sep 4 dec 24,1
rapid respose 33 migthy earth january 2016 december 2018 60 hectares tree cover loss within martabe mine area agincourt resources tbk january december 41 hectares tree cover loss within martabe mine area agincourt resources tbk ar managed united tractor astra international,1
allegations desa kembiri forestalestari dwikarya polluting jaman akar river,2
clearedand planted land submitting new planting procedure notifications public consultation used intimidation failed secure free prior informed consent fpic communities prior developing land share information requested complainants engage bilateral negotiations enquiries relating complaints henrison inti persada proposed new planting area west papua npp notification downloaded,0
greenpeace two andalan sukses makmur asmr subsidiary bumitama bumi sawit sejahtera bss subsidiary ioi clearing forest peatlands bumitama supplier gar foe released similar greenpeace final countdown 9 18 greenpeace dying cookie,3
involvement labour right issues hamparan masawit bangun persada hmbp subsidiary best,4
mighty earth rapid response 17 indications deforestation asml concession east kalimantan feb 28 june 28 involving total area 34 ha,1
deforestation hardaya inti plantation hip subsidiary hardaya plantations hpg hardaya plantations hpg central cipta murdaya ccm ’s subsidiary handles plantation business public case released september 2018,3
mighty earth rapid response 22 indications 109 ha deforestation inside arrtu energie resources concession jul 14 nov 13 earlier greenpeace burning house fire incidents aer,1
synopsis carrying illegal logging 540 ha kawasan budidaya kehutanan kabupaten kutai kertanegara planted land outside concession area planted land outside hgu remarks written member preliminary findings 4 june 2013 based evidence furnished box complaint legitimate refer rspo’s complaints process flow member since met 26 july 2013 relevant documents pertaining allegations made available investigation,2
violates fundamental labour rights employees bad work conditions unjustified dismissals mistreatment false unfounded suspicions uses retaliation farm workers human rights defenders uses figure blacklist designate employees rehired uses organic fertilizer generates pestilent odour flies affecting communities,4
peatland violations clearance tunas baru lampung tbl,1
early november greenpeace published burning house palmina utama julong named gar supplier identified civil action related fire incidents,3
allegation claims pn vi bought illegal ffb communities informed communities planted plantations concession area sold ffb members pn vi provided evidence allegations,0
labour right issues uganda limited venture wilmar international limited indirectly bidco uganda limited 48 stake,4
mighty earth rapid response 20 indications deforestation putra utama lestari area 1 ha 20 may 24 sep area 2 2 ha 7 may 11 sep,1
mighty earth rapid response indication deforestation inside shp concession total 35 ha may 27 aug 24,1
